ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08FNYKHF5,"Makita DUB185Z 18V Blower Cordless, Tool Skin Only (No battery included)",$144.90,"$1,503",8237,5374,4.6,FBA,1,No
B0CRXFZKRC,"Bosch 18V Cordless Leaf Blower Without Battery, 2-Speed Selection, Includes Leafblower Nozzle and Inflator Nozzle (UniversalLeafBlower 18V-130)",$115.00,,,0,4.5,FBA,2,No
B0FPG3TZ9D,"Dinftin Brushless Cordless Leaf Blower Compatible for Makita 18V Battery(Tool Only), 125MPH 430CFM Variable Speed Turbo Blower, Lightweight Handheld Blower for Lawn, Garage, Snow, Patio",$60.97,$336,65018,11,4.1,FBA,3,No
B0F4KHG2ZD,"Leona Co Cordless Leaf Blower & Vacuum, 2-in-1 Handheld Dust Cleaner, 18V Compatible (Tool Only, No Battery & Charger) for Car, Home & Outdoor",$32.99,,,0,,FBA,4,No
B0FXGF63GB,"Cordless Leaf Blower Compatible for Makita 18V Battery(NO Battery), Mini Turbo Jet Blower with 2 Nozzles, Lightweight & One-Hand Use, for Patio Garage Yard Cleaning Car Dryer(Tool Only)",$80.23,$981,23848,188,4.4,FBA,5,No
B0F4KHN333,"LEDON Cordless Leaf Blower & Vacuum, 2-in-1 Handheld Dust Cleaner, 18V Compatible (Tool Only, No Battery & Charger) for Car, Home & Outdoor",$32.99,,,0,1,FBA,6,No
B0GGRCPFMP,"Cordless Leaf Blower for Ryobi 18v Battery, 130000RPM Brushless Leaf Blower with 5 Nozzles, 210W Handheld Blower Compatible with Ryobi, Lightweight & Variable Speed (Battery Not Included)",$69.99,,,0,4.2,FBA,7,No
B099G8FR3Z,"Rok Cordless Leaf Blower Skin-Only 18 V, Black/Blue",$84.80,,,0,4,FBA,8,No
B0CRXLCF4K,"Bosch 18V Cordless Leaf Blower with 2-Speed Selection, Includes Leafblower Nozzle, Inflator Nozzle, 2.5Ah Battery and Fast Charger (UniversalLeafBlower 18V-130)",$165.04,,,0,4.5,FBA,9,No
B0G5XFHPXY,"Cordless Leaf Blower Compatible for Milwaukee 18V Battery(NO Battery), Mini Turbo Jet Blower with 2 Nozzles, Lightweight & One-Hand Use, for Patio Garage Yard Cleaning Car Dryer(Tool Only)",$80.02,$981,15209,188,4.4,FBA,10,No
