ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
1452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)",$16.95,"$1,126",,5179,4.7,FBA,1,No
0811870197,"One Line A Day: A Five-Year Memory Book (5 Year Journal, Daily Journal, Yearly Journal, Memory Journal)",$15.79,$594,,10777,4.7,FBA,2,No
B0G5TVKGHZ,"Oxford One Line a Day 5 Year Journal, Daily Keepsake Memory Book with Undated Entries, 366 Pages, 5.6” x 8.3”, Pale Blue Hardcover, Ribbon Markers and Pocket for Photos and Mementos (1017048)",$11.81,$795,,49,4.8,FBA,3,No
179721876X,Nouveau One Line a Day: A Five-Year Memory Book,$15.80,$649,,500,4.7,FBA,4,No
1452164622,Modern One Line a Day: A Five-Year Memory Book,$15.80,$578,,3475,4.7,FBA,5,No
144133727X,"Five Year Journal - Deluxe, Cloth-bound Edition (1 minute a day is all it takes!)",$15.33,$534,,513,4.8,FBA,6,No
1452164614,Floral One Line a Day: A Five-Year Memory Book,$15.58,$333,,2339,4.7,FBA,7,No
B0G5SWSYCY,"Oxford One Line a Day 5 Year Journal, Daily Keepsake Memory Book with Undated Entries, 366 Pages, 5.6” x 8.3”, Black Hardcover, Ribbon Markers and Pocket for Photos and Mementos (1017049)",$11.21,$795,,49,4.8,FBA,8,No
1797231200,Gilded One Line a Day: A Five-Year Memory Book,$15.80,$165,,168,4.8,FBA,9,No
0811874907,Mom's One Line a Day: A Five-Year Memory Book,$15.79,$327,,3253,4.7,FBA,10,No
