ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B00I1QCPIK,ProsourceFit Acupressure Mat and Pillow Set for Back/Neck Pain Relief and Muscle Relaxation,$29.99,"$12,114",2880,52530,4.2,FBA,1,No
B07H3317K8,"Acupressure Mat & Pillow Set – Extra-Long 29” Acupressure Therapy for Back & Neck Pain Relief, Sciatica, Stress Relief & Sleep Support – Includes Carry Bag & Hot/Cold Pack (Purple)",$46.99,$336,57307,2924,4.3,FBA,2,No
B08FR8LQGR,"XiaoMaGe Acupressure Mat and Pillow Set with Bag - Large Size 28.7 X 16.5 inch Acupuncture Mat for Neck & Back Pain, Muscle Relaxation Stress Relief, Sciatica Pain Relief Pillow (Purple)",$26.99,$852,33832,3700,4.3,FBA,3,No
B09JS96GYM,"UNMERA Acupressure Mat and Pillow Set,Natural Eco Linen & Coconut Fiber Filling,for Back/Neck Pain Relief, Sciatic, Headache and Muscle Relaxation, Comes with Carrying Bag",$49.98,"$1,079",27741,685,4.7,FBA,4,No
B0FC64CL83,"Fitvids Acupressure Mat and Pillow Set for Back/Neck Pain, Acupuncture Products to Relieve Muscle Fatigue, Improve Insomnia for Sedentary People, Acupuncture Eases Stress, Massage Mat, Pink",$18.97,$743,104687,60,4.4,FBA,5,No
B0BG6N7W91,ProsourceFit Acupressure Mat and Pillow Set for Back/Neck Pain Relief and Muscle Relaxation,$29.99,"$12,114",2878,52531,4.2,FBA,6,No
B00N24PK6A,ProsourceFit Acupressure Mat and Pillow Set for Back/Neck Pain Relief and Muscle Relaxation,$29.99,"$11,289",2948,52530,4.2,FBA,7,No
B0FC62P4L1,"Fitvids Acupressure Mat and Pillow Set for Back/Neck Pain, Acupuncture Products to Relieve Muscle Fatigue, Improve Insomnia for Sedentary People, Acupuncture Eases Stress, Massage Mat, Orange",$19.97,$743,104681,60,4.4,FBA,8,No
B09NHS319M,"UNMERA Acupressure Mat and Pillow Set,Natural Premium Linen & Coconut Fiber Filling,for Back/Neck Pain Relief, Sciatic, Headache and Muscle Relaxation, Comes with Carrying Bag",$99.00,"$1,079",27741,685,4.7,FBA,9,No
B00N24PK42,ProsourceFit Acupressure Mat and Pillow Set for Back/Neck Pain Relief and Muscle Relaxation,$26.59,"$12,114",2881,52530,4.2,FBA,10,No
