ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CC6CCTXF,"Female Dress Model Torso Body Clothing Forms,Sewing Mannequin Foam Body for Pinning.Height Adjustable Stand. (Beige, 6)",$199.99,$58,66471,67,4,FBA,1,No
B0797MNF35,"FDW Manikin 60”-67”Height Adjustable Female Dress Model Display Torso Body Tripod Stand Clothing Forms (Black, 60-67 Inches)",$40.88,"$4,559",1731,5230,4,FBA,2,No
B076KMGRPZ,Female Dress Form Mannequin Torso Body with Adjustable Tripod Stand Dress Jewelry Display (Beige),$18.98,"$1,155",3850,1641,4.4,FBA,3,No
B007PBHZK0,"Dritz Sew You Adjustable Dress Form - Small/Medium Sizes US 4-12 - Female Clothing Mannequin for Sewing, Fitting, and Draping - Pinnable Sewing Mannequin with 12 Dials for Fitting + 360 Hem Guide",$129.99,"$1,295",3701,7863,4.5,FBA,4,No
B0DNKRDZ7D,"T Shirt Display stand for Vendors, Adjustable Dress Form Mannequin Torso, Portable Hanging wooden Clothes Rack, Flexible Hanger for Clothing Tshirt Jacket Coat Retail, Height 18.5-31.5 Inch (4 Pcs)",$39.99,$622,79156,201,4.4,FBA,5,No
B0CLLB5RFZ,"EaseHome Female Mannequin Torso, Height Adjustable Dress Form Manikin Body Clothing Display with Metal Bracket and Rectangular Base for Sewing Dress Display,Black",$89.99,$227,40208,42,4.6,FBA,6,No
B0FP4XZPDS,"Mannequin Dress Form Female Dress Model Torso Display Mannequin Body 50-63 Inch Height Adjustable Tripod Stand (White, 50-63 Inches)",$45.39,$749,10714,967,4.2,FBA,7,No
B007PBHZJ6,"Dritz Sew You Adjustable Dress Form - Medium/Large Sizes US 12-18 - Female Clothing Mannequin for Sewing, Fitting, and Draping - Pinnable Sewing Mannequin with 12 Dials for Fitting + 360 Hem Guide",$129.99,"$1,295",3701,7863,4.5,FBA,8,No
B0BG2PW5DQ,"Black Dress Form Adjustable Mannequin for Sewing, Female Size 6-14 Pinnable Body Form with 13 Dials & Detachable Casters, 42.5""-60"" Height Range for Clothing Display, Small to Medium",$128.79,$685,17328,977,4.2,FBA,9,No
B08748KZY1,Female Dress Form Mannequin Torso Body with Adjustable Tripod Stand Dress Jewelry Display (White),$19.99,"$1,155",3860,1628,4.4,FBA,10,No
