ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CZPDN7S4,"BYZOOM FITNESS Pure Series Adjustable Dumbbell - 12.5/25/27.5/50/55/75lb - ONE UNIT OR PAIR(check QTY before purchase) - 5-in-1/ 10-in-1 / 15-in-1 / 21-in-1 Flexible Hand Weights for Home Apartment Garage Gym, Strength Training & Fitness Workouts, White OR Black",$119.99,$474,37992,229,4.5,FBA,1,No
B0DB1FDJ9C,"FITPLAM Adjustable dumbbell set,20/35/45/55/70/90lbs Free Weights set with upgraded nut, 5 in 1 Weight Set Used as Kettlebells, Barbell, Push up Stand, Fitness Exercise for Home Gym Suitable Men/Women",$75.99,"$5,843",1256,1315,4.3,FBA,2,No
B0DW8W24C4,"Hezeyferg 22LBS Adjustable Dumbbells Set, Adjustable Weight Dumbbells with 4 Levels 4.4lb, 6.6lb, 8.8lb, 11lb, Hand Weights Sets for Women/Men Home Gym Full Body Workout",$74.99,"$1,362",12937,312,4.8,FBA,3,No
B0DQFW8PD6,"Adjustable Dumbbells,20/30/40/60/80lbs Free Weight Set with Connector, 4 in1 Dumbbells Set Used as Barbell/Kettlebells/Push up Stand, Fitness Workout Equipment for Home Gym for Youth,Women/Men",$44.99,"$1,337",3349,263,4.3,FBA,4,No
B08M3LQ4ZC,"Adjustable-Dumbbells-Sets,Free Weights-Dumbbells Set of 2 Convertible To Barbell A Pair of Lightweight for Home Gym,Women and Men Equipment",$36.89,"$1,407",4509,2963,4.3,FBA,5,No
B0DWRSN5QN,"Adjustable Dumbbells Set 12.5LB Pair, 1-Sec Fast Adjustable 5 Free Weights, Premium Comfort Non-slip Metal Handle, Compact Size for Full Body Home Workout",$109.99,$194,24708,130,4.6,FBA,6,No
B0DL3GCRZQ,"EQUIPRO Adjustable Dumbbell Set, 4 in 1 Free Weights Dumbbells Set for Women, Weights for Women at Home, 2lb 3lb 4lb 5lb with TPU Soft Rubber Handle for Home Gym Exercise Training",$35.99,"$5,374",1560,1104,4.7,FBA,7,No
B0FPFLZR7N,"Hezeyferg 30.8LB Adjustable Dumbbell Set, Each Adjustable Weight Dumbbell with 6 Levels 4.4/6.6/8.8/11/13.2/15.4lb, Hand Weights Set for Men/Women Home Gym Exercise Workout",$106.99,$414,29220,56,4.9,FBA,8,No
B0G7J9QZTY,"kisnbld Adjustable Dumbbell Set, 13/18/22/35LBS SoftShell Weight Set with Connector 4-IN-1 Dumbbell Set Used as to Barbell & Kettlebell for Home Gym, Fitness Exercise for Men Women Beginners",$108.99,$73,45532,11,5,FBA,9,No
B0F7HCG7XJ,"Hezeyferg 2-in-1 Adjustable Dumbbells Set, 4 Levels Weight Dumbbells Set for Women Men, Each 2.2/3.3/4.4/5.5lb Hand Weights with Kettlebell Form for Home Gym Exercise Training",$45.99,$864,11074,151,4.8,FBA,10,No
