ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BVRW8MB4,"aSquared Nutrition Apigenin 100mg with L-Theanine 100mg Gummies - Apigenin Supplement for Sleep - Natural Extract Gummy Alternative to Capsules, Pills, Powder & Tea - 2 Per Serving",$32.95,$93,146461,62,3.4,FBA,1,No
B0CL726YJ4,"Triple Magnesium Complex Gummies - 800mg Magnesium Glycinate & Citrate, Apigenin & L-Theanine, for Kids & Adults, Naturally Asleep & Muscle Cramps (60 Count)",$19.99,$426,58934,124,4.3,FBA,2,No
B09S85FXJB,aSquared Nutrition Apigenin 50mg & L-Theanine 200mg - 120 Capsules - Apigenin Supplement Pills for Sleep and Relaxation - Natural Bioflavonoid Extract Found in Chamomile Tea,$39.95,"$2,341",20715,425,4.1,FBA,3,No
B0GKQ6L7NY,Liposomal Apigenin Supplement | 4-Month Supply Apigenin (Chamomile Flavonoid) | Supports Sleep & Calm | Sunflower Phospholipid Liposomes for Enhanced Absorption – 50mg Capsules (120 Count),$19.99,$158,75266,6,4.7,FBA,4,No
B0D4MNFR7B,Momentous Apigenin Supplement - 50 mg per Capsule - NSF Certified for Sport - 60-Count,$22.95,"$3,430",12826,142,4.5,FBA,5,No
B09LFFGQXM,"Apigenin, 100mg Per Serving, 240 Capsules – Raw Plant Extract from Chamomile Flower – Active Bioflavonoids & Antioxidants – Sleep & Relaxation Supplement – Non-GMO",$23.99,"$1,962",20517,636,4.4,FBA,6,No
B0DC14K3JR,"Magnesium L-Threonate Gummies w. Apigenin L-Theanine, Advanced 11-in-1 Magnesium Supplements w. Vitamin D3 K2 B6 for Sleep Cognitive Brain & Relax, High Absortption Magnesium Gummies for Adults & Kids",$11.19,$103,105547,27,3.7,FBA,7,No
B0BXV9Q67P,"Nutricost Apigenin 50mg, 180 Capsules - Non-GMO, Gluten Free, Vegan",$21.95,"$2,131",17164,374,4.4,FBA,8,No
B0F6F51ZPB,Clean Nutra Cortisol Supplement Gummies L-Theanine Magnesium Ashwagandha Apigenin Vitamin B6 Sleep and Calm Support Lavender Chicory Prebiotic Advanced Gummy Formula,$21.21,"$2,261",11607,119,4,FBA,9,No
B0BG63SC5G,High Absorption Magnesium Sleep Supplement - Rest Support Magtein Magnesium L-Threonate and Apigenin Theanine for Sleep and Rest for Women & Men - Mg L-Threonate Melatonin Free Sleeping Aid - 90 Ct,$35.99,"$1,095",32918,569,4.3,FBA,10,No
