ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08N5NKNXX,UPPERCASE Designs NimbleStand Vertical Stand Compatible with Apple Pencil with/without Sleeve or Grip (Onyx Black),$12.95,$126,77224,1414,4.8,FBA,1,No
B0GBYZX6M8,"Magnetic Charger Stand for Apple Pencil 2nd Generation Only: Elegant 2-in-1 Wireless Charging Stand & Groove Holder for iPad Pencil 2nd Gen–Perfect Charging, Storage, and Desktop Decor Partner",$29.99,$16,41157,30,4.4,FBA,2,No
B08N5MXDXM,UPPERCASE Designs NimbleStand Vertical Stand Compatible with Apple Pencil with/Without Sleeve or Grip (Mint),$14.95,$126,58704,1414,4.8,FBA,3,No
B09LYJCNKD,"elago Pencil Stand Compatible with Apple Pencil Pro, Apple Pencil (1st & 2nd Generation) and Apple Pencil (USB-C) and Any Tablet Stylus with or Without Pencil Case or Sleeve [Black]",$12.89,$231,93,820,4.7,FBA,4,No
B01FEYA61Y,TechMatte Charging Stand Compatible with Apple Pencil 1st Generation- Premium Aluminum Charging Dock with Built-in Charging Cable (5feet),$16.99,$98,37885,4872,4.4,FBA,5,No
B0FWBV2BQW,ACANDYA Magnetic Fast Charging Stand for Apple Pencil 2nd Gen Quick Charge Kickstand for iPad Pencil 2nd Generation Adapter iPad Pen 2 Gen iPencil Secure Charger Holder USB Cable Included Grey,$22.89,$27,57185,12,3.5,FBA,6,No
B0FDF4T5C3,LIGHTMEUP 2-in-1 Wireless Magnetic Charger & Stand Holder - Device Compatibility Check Required Only Compatible with Apple Pencil 2nd Generation - Magnetic Desktop Charger with LED Charging Indicator,$23.99,$15,98229,36,3.3,FBA,7,No
B0BGR3B5V1,"Magnetic Wireless Charger Dock with USB Cable Compatible with Apple Pencil 2nd Generation Only, Convenient Ipencil Charging Stand fits for Ipad Pen Gen 2,Save Your Ipad Battery Power",$16.99,$194,20318,411,3.8,FBA,8,No
B09XF7G33N,Solid wood vertical Pencil 1 2 Holder bracket Compatible with Stylus container. Ballpoint bracket stand Pen rest.Universal pen Racks Protect case and Stylus box-FBZ-M,$12.90,$10,145079,7,4.8,FBA,9,No
B0DHD9SY3M,"Magic Pencil Holder Compatible with Magic Keyboard, Apple Pencil Pro/Apple Pencil 2nd Generation Pencil Holder Compatible. (Black)",$12.99,$22,153086,16,4.2,FBA,10,No
