ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F7XGN7CN,"Natural River Stone Plant Weights for Aquarium, Handmade Pebble Anchors for Aquatic Plants, Fish Tank Decorations, Unique Shape & Size, Landscape Plant Weights (0.8″ 2holes 6pcs)",$15.99,$296,30719,62,4.6,FBA,1,No
B004MYIENA,"Exo Terra Moss Ball, Water Clarity and Odor Control for Aqua-Terrariums, PT2478, Green",$2.54,"$1,482",,5880,4.1,FBA,2,No
B0CCDNC1SC,"20 Pcs Aquatic Water Plant Fixed Rings, Aquarium Landscape Ceramic Pottery Plant Pot Gravity Ring for Fish Tank Accessories",$11.99,$96,46093,106,4.3,FBA,3,No
B0GK8C4B3C,"2PCS Natural River Stone Plant Weights for Aquarium，Pebble Aquatic Plants Fixed Ring for Aquatic Plants，Unique Shape & Size Decorative River Rock for Landscape Plant(0.8"" Holes)",$8.99,$17,62753,0,,FBA,4,No
B0C4HH2T4Y,"52 Pcs Aquarium Plant Weights, Plant Weights for Fish Tank, Aquarium Plant Anchors, Aquarium Plant Weights for Live Plants, Stops Plants from Floating in The Aquarium.",$8.99,$312,19171,316,4.7,FBA,5,No
B0FCSRVBDP,10 Pack 25mm Ceramic Aquarium Plant Weights - Pre-Wrapped Cotton Anchors for Substrate Planting,$7.49,$117,43504,24,4.3,FBA,6,No
B0DJ23Z4C5,3 PCS Aquarium Moss Ball Holder Professional Aquarium Plant Holder Plastic Moss Ball Fish Tank Plant Holder with Filter Stone for Fish Tank Accessories,$11.69,$121,41092,93,4,FBA,7,No
B0DNPWNDW9,"25 Pcs Aquarium Plant Weights, Plant Weights for Fish Tank, Anchors for Live Plants, Stops Plants from Floating in The Aquarium.",$6.99,$497,15494,179,4.7,FBA,8,No
B0CPB1B4WH,Awesome Aquatic Plant Weights/Anchors 50 Pack Strips Lead Ribbon Live Plants Weight Anchor Aquarium (50 Pack Strips),$10.99,"$1,016",9088,2675,4.6,FBA,9,No
B0GWRZYW52,"2 Live Moss Pebbles Balls for Fish Tank Decoration Plant/Aquatic Balls - Set of 2, 1-1.5 Inch Each",$11.49,$8,42764,0,,FBA,10,No
