ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B00YI5VJW6,"Auraglow Teeth Whitening Kit, LED Accelerator Light, 35% Carbamide Peroxide Teeth Whitening Gel, 20+ Whitening Treatments, Whitens up to 10 Shades in 7 Days",$48.00,"$15,195",2502,48396,4.2,FBA,1,No
B07PHB5JKF,"iSmile Teeth Whitening Kit - LED Light, 35% Carbamide Peroxide, (3) 3ml Gel Syringes, (1) Remineralization Gel, and Tray.",$21.59,"$10,719",4221,28131,4.3,FBA,2,No
B0C7NJFXMY,"PurelyWHITE DELUXE Teeth Whitening Kit, Complete LED Teeth Whitening, 15+ Treatments, (3) 3ml Whitening Gel Syringes, Whiter Smile in 7 Minutes",$28.99,"$2,131",17487,1582,4.1,FBA,3,No
B08WXF5TX8,"MySmile Teeth Whitening Kit with LED Light, 10 Min Non-Sensitive Fast Teeth Whitener with 3 Carbamide Peroxide Whitening Gel, Helps to Remove Stains from Coffee, Smoking, Wines, Soda, Food",$23.72,"$5,372",9092,21242,4.2,FBA,4,No
B0DJ71Q8TL,"Somall Teeth Whitening Kit - Professional Tooth Whitening Gel LED Light System, 35% Carbamide Peroxide, 3ml Gel Syringes(3), Remineralization Desensitizing Gel(1), and teeth whitening light",$16.99,$72,35554,135,4,FBA,5,No
B0CRGSK74Y,Auraglow Plug-in LED Teeth Whitening Kit – Wired Light Device – 35% Carbamide Peroxide Gel – 12 Treatments – at-Home Tooth Whitening System – Enamel-Safe at-Home Whitening for Coffee & Tea Stains,$36.00,"$15,195",2640,48404,4.2,FBA,6,No
B0GDFYSKRG,"Teeth Whitening Kit with 32 LED Accelerator Light, 3X 6 Percent Gentle Hydrogen Peroxide Gel Pens for Sensitive Teeth, Removes Deep Coffee Stains, Enamel Safe, Visibly Whiter in 7 Days",$36.99,$351,24628,13,4.7,FBA,7,No
B0BRKQWPL1,"Teeth Whitening Light,10X More Powerful Blue Led Light Connected with USB, Non-Battery Teeth Whitening LED Light in Home Use",$12.99,$472,53941,501,4.2,FBA,8,No
B00B2NIARO,"Teeth Whitening Kit with LED Light and Trays, 44% Carbamide Peroxide Teeth Whitening Gel, Up to 25 At Home Whitening Treatments, Vegan Formula with Travel Case",$23.99,$176,104971,628,4.1,FBA,9,No
B08C7B79LR,MySmile Teeth Whitening Light with Mouth Trays- 5LED Powerful Accelerator Light Integrated with Smart Timer and Long Lasting Batteries(Teeth Whitening Gel Not Included),$17.99,$273,68298,23275,4.1,FBA,10,No
