ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FP56N639,"PETLIBRO RFID Automatic Cat Feeders for 3 Cats, Collar Sensor for Personalized Meals, Cats Recognition, Diet Tracking and Anti-Stealing for Multi-Pets Homes and Different Diets, WiFi Food Dispensers",$369.99,"$4,490",2314,18933,4.2,FBA,1,No
B0FQCCR56X,"7L Automatic Pet Feeder with 1080P HD Wide Angle Camera, Smart WiFi Function, App Controlled, Night Vision Feature, Two-Way Audio, Suitable for Cats and Dogs.",$85.99,$183,29400,33,4.3,FBA,2,No
B0DLWX6G39,"Bundle of PETLIBRO App Cat Water Fountain 2.5L/84oz Dockstream Pet Water Fountain with 2.4GHz Wi-Fi + PETLIBRO Automatic Cat Feeder with Camera, 1080P HD Video with Night Vision, 5G WiFi Pet Feeder",$161.70,,,0,,FBA,3,No
B09TKH9Q31,"PAPIFEED Automatic Cat Feeder with App, 2.4G WiFi Cat Food Dispenser, 6L Timed Cat Feeder for Dry Food, 10 Meals/Day, 12 Portions/Meal, Dual Power Supply Smart Pet Feeder for Dog, White",$39.99,$462,12884,4196,4.3,FBA,4,No
B0DXPKQ4HN,"PAPIFEED Automatic Cat Feeder with App, 2.4G WiFi Cat Food Dispenser, 6L Timed Cat Feeders for Dry Food, 10 Meals/Day, 12 Portions/Meal, Dual Power Supply Smart Pet Feeder for Small Dog, Army Green",$49.99,$20,27705,897,4.1,FBA,5,No
B00O0UIPTY,"Sure Petcare -SureFlap - SureFeed - Microchip Pet Feeder - Selective-Automatic Pet Feeder Makes Meal Times Stress-Free, Suitable for Both Wet and Dry Food - MPF001",$199.00,"$1,739",5869,12942,4.3,FBA,6,No
B0FT7KFT6P,"PawsPik Automatic Microchip RFID Cat Feeder,16-Cup, ISO Microchip & PawsPik RFID Tag Compatible, App Control, Portion Control",$224.99,$290,14039,59,4,FBA,7,No
B0CX8VKMD9,"PETLIBRO RFID Automatic Cat Feeder, Collar Tag-Activated Personalized Meals, 5G&2.4G Wi-Fi Programmable Cat Food Dispenser with Cats Recognition & Diet Tracking for Multi-Pet Homes and Different Diets",$119.98,"$4,623",2435,18933,4.2,FBA,8,No
B0FP2QTQYT,"PETLIBRO RFID Cat Feeders for 2 Cats, Collar Sensor for Personalized Meals, Cats Recognition, Diet Tracking and Anti-Stealing for Multi-Pets Homes and Different Diets, Automatic Pet Feeder (Pack of 2)",$242.99,"$4,490",2311,18933,4.2,FBA,9,No
B0FP533MTZ,"PETLIBRO Automatic Cat Feeders for 2 Cats, RFID Collar Tag for Exclusive Meals, Cats Recognition to Stop Food Stealing, Diet Tracking for Multi-Pet Homes and Different Diets, Pet Feeder Pack of 2",$242.99,"$4,490",2272,18933,4.2,FBA,10,No
