ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CFFKBW58,"PETKIT Automatic Cat Dog Feeder with Camera, AI-Powered Motion Capturing, 1080P HD Video with Night Vision, 2.4G WiFi Pet Feeder with 2-Way Audio, Dual Hopper Pet Food Dispenser with Desiccant",$139.99,"$1,271",8717,837,4.5,FBA,1,No
B0B5ZJBC8L,"PETLIBRO Automatic Cat Feeder with Camera for Two Cats, 1080P HD Video with Night Vision, 5G WiFi Pet Feeder with 2-Way Audio for Cat & Dog, Low Food & Motion & Sound Alerts, Dual Tray, Black 5L",$139.99,$462,2242,1104,4,FBA,2,No
B0B5ZJY9MT,"PETLIBRO Automatic Cat Feeder with Camera, 1080P HD Video with Night Vision, 5G WiFi Pet Feeder with 2-Way Audio, Low Food & Blockage Sensor, Motion & Sound Alerts for Cat & Dog Single Tray",$139.99,$352,1587,9519,3.9,FBA,3,No
B0FJM41MLT,"PETLIBRO Automatic Dog Feeder with Camera, Auto Cat Food Dispenser Slow Feeders Dogs Bowl, 1080P HD Video with Night Vision, 5G WiFi with 2-Way Audio, Stainless Steel Slow Food Tray for Small Dogs",$148.94,$312,630,9758,4.3,FBA,4,No
B0FBYMLP51,"TailTeddy Automatic Cat Feeder with Dual Camera & AI Detection (6L), Smart Pet Feeder with WiFi App & Two-Way Audio, Timed Cat Feeder up to 6 Meals/Day, Stainless Steel Bowl & Battery Backup",$79.99,$5,102292,7,4.6,FBA,5,No
B0DCNNN5FC,"Frienhund Automatic Cat Feeder with 2K Camera: 5G WiFi Automatic Dog Feeder with Night Vision,Cat Food Dispenser with 7L Large Food Storage Container for Multiple Pet,Detachable for Easy Clean -29 Cup",$61.98,$827,4412,1394,4.4,FBA,6,No
B0F5GMT4QM,"IMIPAW Automatic Cat Feeder with Camera - AI Pet Recognition & Recording, Night Vision, 5G WiFi APP Remote Control, Two-Way Audio & Desiccant Bag, Timed Programmable Food Dispenser for Small Pets",$49.39,$223,26761,668,4.3,FBA,7,No
B0FCBB1JJK,"Frienhund 5G WiFi Automatic Cat Feeder with Two HD Camera: 7L Automatic Dog Feeder with Night Vision, Auto Cat Food Dispenser for Multiple Pet, Detachable for Easy Cleaning - 29 Cup",$89.99,$827,4137,1394,4.4,FBA,8,No
B0DZ24ZGJ3,"Frienhund Dual Automatic Cat Feeder with Camera for 2 Cats: 5G WiFi Automatic Dog Feeder with Night Vision, 7L Auto Cat Food Dispenser with Two Camera for Multiple Pet, Easy to Clean-29 Cup(ACF180W-A)",$89.99,"$2,497",7353,2045,4.2,FBA,9,No
B0FCBCS9HR,"Frienhund Automatic Cat Feeder with Two 1080P Camera for 2 Cats: 7L Automatic Dog Feeder with Night Vision & Slow Feed, 5G WiFi Auto Cat Food Dispenser for Multiple Pet,Detachable for Clean(ACF180W-C)",$89.99,"$4,362",3986,1862,4.2,FBA,10,No
