ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BNB2BTG5,"Babelio 29-55 Inch Extra Wide Baby/Dog Gate, PressGuard P7, Metal Auto Close, Pressure Mounted Pet Door for Doorways, NO Need Tools and Drilling, with Wall Cups, White",$89.99,"$3,744",1450,3209,4.4,FBA,1,No
B09VBNXGPF,"57.5-62"" Extra Wide Baby Gate for Doorways,30"" Tall Double Lock Mechanism Metal Dog Gate Pressure Mount，Automatic Closing Child Safety Gate,White",$99.99,$358,10080,337,4.4,FBA,2,No
B08ZXQBY75,"WAOWAO Baby Gate 66.93-71.65"" Extra Wide Pressure Mounted Walk Through Swing Auto Close Safety Black Metal Toddler Kids Child Dog Pet Puppy for Stairs,Doorways,Kitchen",$106.19,$619,3844,626,4.4,FBA,3,No
B0DF4DQTMY,"Extra Wide Baby Gate with Door Pressure Mounted 57.48-62.20 Inch,Child Baby Gates for Doorways No Drilling,Walk Through Dog Gate Indoor for The House Kitchen Stairs,White",$78.99,$409,6895,185,4,FBA,4,No
B0FBGJ23B3,"29.5-61.5"" Extra Wide Baby Gate for Stairs, Child & Pet Proof, No-Drill Pressure Mount Auto Close One-Hand Operation, Indoor Dog Gate for Doorways, 7 Adjustable Sizes, 30.5"" Tall, Black",$79.99,$198,8247,39,4.1,FBA,5,No
B087ZGBMX7,"Regalo Safety 30.5-58"" Extra Wide Arch Baby Gate with Door, Pressure Mount Walk Through Gate for Doorways & Bottom of Stairs, Babies, Toddlers & Pets, Tested & Safe, American Designed, American Owned",$52.99,"$3,001",1813,22518,4.5,FBA,6,No
B0002JETOM,Toddleroo by North States - Extra-Wide Wire Mesh Wooden Baby Gate: Pressure Mounted Baby Gate for Doorways - Adjustable 29.5 to 50 Inches Wide - 31 Inches Tall,$34.95,"$2,861",1799,6477,4.3,FBA,7,No
B001OC5UN0,"Regalo Safety 29-49"" Easy Step Extra Wide Baby Gate for Doorways & Bottom of Stairs, Pressure Mounted Safety Gate with Door for Babies, Toddlers & Pets, White",$49.99,"$40,382",43,5718,4.4,FBA,8,No
B003VNKLHA,"Regalo Safety 29-56"" Extra Wide Baby Gate for Doorways & Bottom of Stairs, Pressure Mounted Baby Gate with Door for Babies, Toddlers & Pets, Tested & Safe for 30 Years, American Designed and Owned",,"$40,382",43,171724,4.5,FBA,9,No
B0BRM9WL9D,"DEARBB Triple Lock Baby Gate for Stairs Doorways and House 31"" to 86"" Extra Wide Pressure Mounted Easy Walk Through Auto Close Safety Pet Gate Black 49.21-67.32""",$152.99,$220,10919,219,4.2,FBA,10,No
