ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09GM8JZM9,"HelloBaby No WiFi Baby Monitor 5"" Screen 30-Hour Battery Pan-Tilt-Zoom Video Upgrade with Camera and Audio, Night Vision, VOX, 2-Way Talk, 8 Lullabies and 1000ft Range, HB6550",$63.16,"$56,122",50,17383,4.5,FBA,1,No
B0CYCDTZ6G,"HelloBaby Baby Monitor 6"" World First IPS Screen 30H Battery, Secure No WiFi, Pan Tilt Video Camera with Night Vision, VOX, 2-Way Talk, 1000ft, Portable Video Audio Monitor Ideal for Mom, Elderly, Pet",$56.98,"$14,583",293,1914,4.5,FBA,2,No
B0GTMC9DS1,"GoodBaby 5"" Baby Monitor with Camera and Audio, No WiFi Secure Camera, 30-Hour Battery, Remote PTZ, Auto Night Vision, Room Temperature, Two-Way Audio，Lullabies，960 ft Range",$29.99,"$15,540",144,13641,4.6,FBA,3,No
B0GK8XWNZS,"Baby Monitor, Baby Monitor with Camera and Audio, Secure No WiFi, Pan Tilt Video Camera with Night Vision, VOX, 2-Way Talk, 1300ft, Portable Video Audio Monitor Ideal for Baby/Elderly/Pet",$129.99,$58,22272,10,5,FBA,4,No
B08V8RWP3W,"VTech VM819 Baby Monitor with Camera and Audio, 2.8” Screen Portable Baby Camera, Night Vision, 2-Way Audio, Temperature Sensor and Lullabies, Secure Transmission No WiFi, Ideal for Baby/Elderly/Pet",$49.95,"$9,176",698,12028,4.5,FBA,5,No
B0G3PGSVWW,"Baby Monitor with Camera and Audio, 2.8"" Video Baby Monitor with Secure Transmission No WiFi, Night Vision, Temperature Sensor, Two-Way Talk, Al Off-Lens Detection, Feeding Reminder",$19.99,$61,28730,121,3.6,FBA,6,No
B0GFW271GL,"Babysense HD 5"" Video Baby Monitor with Camera and Audio, No WiFi/App, Secure Closed-Loop, Night Vision, Pan-Tilt-Zoom, VOX Audio Alerts, White Noise & Lullabies, Up to 1000 ft Range, 20-Hour Battery",$89.99,,2303,1561,4.4,FBA,7,No
B0DHYH23PK,"Motorola Nursery Wireless Audio Baby Monitor, No WiFi, Long Range AM21 with Private DECT Connection, Cry Detection, Volume Control, Portable Parent Unit",$19.99,"$6,241",1025,514,4.3,FBA,8,No
B0FL16C5FZ,"Babysense PRO Full HD 5.5"" Split Screen Baby Monitor with 2 Cameras, 6-Color Night Light, White Noise, Sound & Light Machine, 20-Hour Battery, Hack-Proof Non-WiFi Secure Connection",$169.98,"$2,903",1632,5724,4.4,FBA,9,No
B0C6Y89H47,"HelloBaby Upgrade 5’’ Baby Monitor with 30-Hour Battery, 2 Cameras Pan-Tilt-Zoom, 1000ft Range Video Audio Baby Monitor No WiFi, VOX, Night Vision, 2-Way Talk, 8 Lullabies and Temperature",$99.99,"$52,835",50,17383,4.5,FBA,10,No
