ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D49C82SV,BARsics 17.5x3.5 inches Long PVC Bar Rail Mat Non-Slip Serving Spill Mat (Pack of 2),$13.99,"$2,091",5866,239,4.8,FBA,1,No
B09NC64VM8,"Bar Mats for Countertop by ProTensils - 18"" x 3"" Bar Rail Mat, Black Rubber Bar Mats for Bartending, Bar Service Drip Mat, Home Bar, Coffee Bar Mat Spill Matt (3 Pack)",$18.99,"$1,322",12222,2623,4.7,FBA,2,No
B0DH59373X,Bar Mat Non-Slip Rubber Bar Mats for Countertop Bartending Bar Service Spill Mat Bar Restaurant Table Drink Mat Barber Station Mat for Hair Salon (24x3x0.4inch - 3PCS),$17.99,$40,114788,5,4.7,FBA,3,No
B0CTL1BHTH,Bar Mat Non-Slip Rubber Bar Mats for Countertop Bartending Bar Service Spill Matt Bar Restaurant Table Drink Mat for Barber Station Hair Salon (24 x 3 in),$25.99,$31,258972,44,4.6,FBA,4,No
B0DCMM38T3,4 Pcs Bar Mats for Countertop 18 x 12 Inch Rubber Silicone Bar Drying Coffee Non Slip Mat for Bartending Home Cocktail Bars Restaurants (Black),$29.99,"$1,402",9390,194,4.8,FBA,5,No
B07YVPNM2V,"Bar Mats for Countertop by ProTensils - 23"" x 3.25"" Bar Rail Mat, Black Rubber Bar Mats for Bartending, Bar Service Drip Mat, Home Bar, Coffee Bar Mat Spill Matt (2 Pack)",$14.99,"$1,322",12222,2622,4.7,FBA,6,No
B0D49BX4L1,BARsics 17.5x3.5 inches Long PVC Bar Rail Mat Non-Slip Serving Spill Mat (Pack of 6),$27.99,$148,36020,15,4.6,FBA,7,No
B07XY34QL5,"Noverlife 2PCS 23.65 x 3"" Rubber Bar Mats, Non-Slip Bar Service Spill Mat Bar Table Mat Restaurant Kitchen Counter Bar Pad for Mixing Drinks, Anti-Skid Heat Resistant Barber Station Mat for Hair Salon",$14.99,$898,11663,2216,4.7,FBA,8,No
B0CGT5B8ZJ,"Rubber Bar Mat – Non-Slip Spill & Drip Mat for Bartending, Coffee Bar & Kitchen Countertop, Thick Durable Counter Protector & Stylish Drying Mat (Total Black, 23.6"" x 3.1"")",$17.99,$162,51624,102,4.6,FBA,9,No
B0C2JFZ8G2,"Bar Mat Set for Countertop, 3 Pack Rubber Bar Mats for Coffee Bar, Kitchen, Bartending, Espresso & Dish Drying, Non-Slip Rubber Mat with Deep Prongs Helps Contain Spills, Durable Black Bar Accessories",$14.49,$410,23126,389,4.7,FBA,10,No
