ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07NBW4DLG,BariSlim,$19.99,"$2,926",14131,2675,4.7,FBA,1,No
B001FY1KAE,Bariatric Fusion,$32.99,"$5,340",8246,10119,4.2,FBA,2,No
B00ILYYNUA,Bariatric Advantage,$45.65,"$4,360",9126,3055,4.6,FBA,3,No
B08VZ5V1FV,BariatricPal,$16.99,"$2,369",15900,461,4.4,FBA,4,No
B0CB42546K,Bariatric Fusion,$16.99,"$8,541",3837,1308,4.7,FBA,5,No
B0FLDBD8T1,"Liposomal Methylated Bariatric Multivitamin Gummies with Iron for Women & Men, High Absorption Multivitamin w/CoQ 10, Probiotic, Digestive Enzymes Support Gastric Bypass & Sleeve Recover, Energy,1Pack",$28.99,"$2,118",15995,104,4.8,FBA,6,No
B09RG9ND4B,Bariatric Advantage,$39.33,"$4,903",8934,872,4.6,FBA,7,No
B07JGFHQ5P,Bariatric Fusion,$34.99,"$3,068",,2922,4.3,FBA,8,No
B07JH63HWS,Bariatric Fusion,$34.99,"$3,068",13689,2123,4.3,FBA,9,No
B0F2NFR36C,Bariatric Fusion,$17.99,$609,50360,197,3.7,FBA,10,No
