ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FLNBTMBD,"Esatto Stainless Steel Liquor Bottle Pour Spouts with Flip Lids - Universal Fit Alcohol Bottle Pourers - Anti-Drip Design, Speed Pour for Bartending, Whiskey, Oils - Rust-Free, Easy Clean (6 Pack)",$12.95,$52,106868,8,4.6,FBA,1,No
B09ZKRXT8M,"Pafusen 12 Pack Liquor Pour Spout With Dust Caps - Bottle Pourers for Alcohol, Olive Oil - Speed Pourers, Bar Bartender Accessories",$8.99,"$9,324",637,3848,4.5,FBA,2,No
B07F2XQWGQ,24 Pack Liquor Pour Spouts Set - Stainless Steel bottle spout and Liquor Pourers Dust Caps Covers,$9.99,"$3,320",2343,2049,4.7,FBA,3,No
B0DJKQ5QWT,"36-Pack Stainless Steel Pour Spouts for Liquor Bottles, Oil, Vinegar, and Wine – Liquor Bottle Pourers with Rubber Dust Caps – Bar Pourers for Bartending",$16.69,$839,8715,207,4.7,FBA,4,No
B00OFOKTEE,(12 Pack Stainless Steel Classic Bottle Pourers w/Tapered Spout,$7.95,"$1,481",5298,3207,4.5,FBA,5,No
B07RFQKT9P,"6PCS Liquor Bottle Pourers, Stainless Steel Olive Oil Spouts, Bottle Pourers for Alcohol, Olive Oil, With Dust Caps Liquor Pour Spout",$6.99,"$3,003",2736,5192,4.6,FBA,6,No
B0FLCT57BX,Stainless Steel Liquor Bar Bottle Pourers - Drip-Free Nozzle - Pour Spouts for Alcohol & Bartending - Universal Fit Speed Spout - Rust-Free & Easy Clean - Chrome (6 Pack),$9.95,$151,53273,9,4.6,FBA,7,No
B0GFDWSD4W,"6 Pack Liquor Bottle Pourers Stainless Steel, Bottle Pourers for Alcohol with Dust Caps, Speed Pourers for Liquor Bottles, Bar Pour Spouts, Olive Oil Spout for Kitchen, Bartending Supplies Essential",$6.99,$69,160586,3,4.3,FBA,8,No
B07PPXN49P,"Barfly Cocktail Liquor Pourer, Set of 12, Stainless",$29.10,$189,64251,42,4.7,FBA,9,No
B06XVK25W6,"Stainless Steel Copper Liquor Pour Spouts Set - Tapered Speed Pours Nozzles with Rubber Dust Caps | Pourers For Alcohol, Olive Oil & Liquor Bottles | Bartender Accessories for Bar & Home Use",$13.99,$179,52609,3027,4.6,FBA,10,No
