ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GHZ4WQGF,"Beach Tent Sun Shelter, Portable Pop Up Beach Tent for 4-5 Person with UPF 50＋ UV Protection, Easy Setup Lightweight Waterproof Ventilation Design Family Sun Shelters for The Beaches",$39.99,,46918,0,5,FBA,1,No
B06XWRLDML,"Wolfwise Pop up Beach Tent Sun Shelter with UPF50+ UV Protection, Instant Easy Setup Popup Beach Shade Canopy for 3 Person, Portable & Foldable with Carring Bag, 87 ×57×47 in, Blue",$44.99,"$1,370",3766,3588,4.4,FBA,2,No
B0GWLVXQGY,"NARMAY Camping Tent, Pop Up Beach Tent, Portable Sun Shelter for 1-2 Person with UPF 50+ UV Protection - Blue",$19.99,$69,33158,4,5,FBA,3,No
B0BMKVR2MV,"COMMOUDS Beach Tent Sun Shade for 3/4/6/8 Person, UPF 50+ Beach Sun Shelter Canopy Tent, Lightweight, Easy Set Up and Carry",$33.99,"$1,457",4374,400,4.5,FBA,4,No
B0G4D3Y335,"Pop Up Beach Tent, UPF 50+ Sun Shade Shelter, Instant Setup Waterproof Outdoor Beach Canopy, Windproof Lightweight Portable Outdoor Shade Tent for Camping Picnic Green",$29.99,$42,270980,20,4.6,FBA,5,No
B0BNQDD2ZN,"Gorich Beach Tent Sun Shelter for 3/4/6/8/10 Person with UPF 50＋ UV Protection, Lightweight & Easy Setup Beach Shade Canopy, Portable Beach Shade Tent Beach Cabana",$39.99,"$10,723",162,10194,4.4,FBA,6,No
B0G2BQ715R,"Raynesys Sports Tent, Portable & Foldable Pop Up Tents Shelter with Carry Bag, Instant Weather Proof Clear View Bubble Tent for Fishing, Camping, Watching Sports Events",$69.99,$951,26150,94,3.6,FBA,7,No
B0G3WX9J4T,"ISILER Pop Up Beach Tent, Portable Outdoor Shade Tent, UPF 50+ Beach Shelter, Easy Setup Windproof Waterproof Canopy",$29.99,$210,31143,246,4.3,FBA,8,No
B09N8SZM6D,"Old Bahama Bay Pop Up Beach Tent, Portable Shade Sun Shelter UPF50+ UV Protection for 4 Person Extendable Floor for Fishing Hiking Camping, Waterproof Windproof(Blue)",$74.99,$351,23204,518,4.5,FBA,9,No
B01ALMJK66,"G4Free Large Pop up Beach Tent for 3-4 Person, UPF 50+ Automatic Sun Shelter Canopy Portable Outdoor Cabana Sun Umbrella",$34.09,$760,10469,1178,4.1,FBA,10,No
