ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G4VYLPJ2,"CAtArt Beach Wagon with Big Wheels for Sand, 400LBS Heavy Duty Foldable Wagons Carts, 9"" All-Terrain PVC Inflatable Tires, Easy Storage for Beach, Grocery Shopping, Sports Camping (Blue)",$152.99,$261,25324,38,4.4,FBA,1,No
B0D6BPNYFD,"Originsure 38""L Collapsible Wagon Cart Foldable, 460lbs Weight Capacity 220L Heavy Duty Folding Beach Wagons with Big All-Terrain Wheels, Utility Carts for Groceries, Shopping, Camping, Sports - Black",$89.99,"$1,791",2528,1032,4.7,FBA,2,No
B0DRV8PWZX,"Hikemoon 150L Collapsible Wagons Carts Foldable, 420LBS Heavy Duty Folding Beach Cart with Big All-Terrain Wheels, Portable Utility Wagon for Grocery, Shopping, Garden, Sports, Camping, Black",$64.99,"$2,339",6137,315,4.5,FBA,3,No
B0F6CJSLVV,"300L Large Collapsible Wagons Carts with Big All-Terrain Beach Wheels, Foldable Shopping Wagon Cart, Heavy Duty 480lbs Load, Folding Utility Cart for Groceries Garden Sport (Black)",$69.98,$486,7976,264,4.5,FBA,4,No
B0GBTSSSJX,"Sekey Heavy Duty Beach Wagon with 9"" Big Sand-Proof Wheels – 600lb Capacity, 200L Oversized Foldable Cart | Adjustable Handle & All-Terrain Tires for Sand, Camping, Groceries",$144.98,$721,5756,1289,4.6,FBA,5,No
B0GH66CW1X,"48""L Collapsible Beach Wagon with Big 10"" Balloon Wheels for Sand, 560lbs Weight Capacity 300L Wagons Carts Foldable Heavy Duty with All Terrain Tires, Folding Cart for Camping, Grocery, Sport - Black",$159.99,$406,13040,21,4.7,FBA,6,No
B0GDXNRVJK,"X900 Heavy Duty Beach Wagon with 9x4 Sand-Proof PU Wheels, 300L Oversized Foldable Wagon Cart with Side Bag, All-Terrain Utility Wagon for Beach Essentials, Sport, Camping（Navy Blue）",$144.97,$395,24144,15,4.3,FBA,7,No
B0GF6BS75M,"Hikenture Beach Wagon with Balloon Wheels, 9"" PU Tires Collapsible Wagon, 440lbs Heavy Duty Beach Cart with Big Wheels for Sand, Large Capacity Utility Wagons Carts",$169.99,$470,7945,426,4.8,FBA,8,No
B0DHRHL3XD,"Collapsible Wagon with Wheels, 220 lbs Wagons Carts Foldable Wagon Cart with Flexible Handle, Lightweight Portable Folding Utility Grocery Shopping Cart for Grocery Sports Garden Camping",$39.99,"$15,704",394,2366,4.6,FBA,9,No
B0DRTTL5ZJ,"Yozoia Wagons Carts Foldable, Lightweight Portable Utility Shopping Cart with Wheels, Folding Grocery Wagon Cart for Grocery, Camping, Shopping, Beach, Garden, Sports Black",$39.99,"$4,241",1433,1749,4.4,FBA,10,No
