ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09WRHLCFG,"Reusable Beeswax Wrap - 9 Pack Eco-Friendly Beeswax Wraps For Food, Organic, Sustainable, Biodegradable, Zero Waste, Plastic-Free Food Storage, 1L Strawberry, 3M Orange, 5S Lemon Patterns",$13.99,"$1,953",18707,1653,4.5,FBA,1,No
B0B8F6KDHN,"Reusable Beeswax Wrap - 9 Pack Beeswax Wraps for Food, Eco-Friendly Beeswax Food Wraps, Bread Sandwich Wrapper - Organic, Sustainable, Zero Waste, Reusable Plastic-Free Food Storage Wrap, 1XL, 3M, 5S",$14.99,"$2,265",6315,1451,4.5,FBA,2,No
B08BWVXP6Y,"Bee's Wrap Beeswax Wraps for Food - Cut to Size 14x52"" Beeswax Wrap Roll - Plastic Free Made in USA Reusable Natural Food Wrap - Honeycomb",$23.00,"$3,542",,2262,4.6,FBA,3,No
B09YXZBS1X,"Akeeko Reusable Beeswax Food Wraps - Assorted 9 Packs, Reusable, Plastic-Free Food Storage, 5 Small, 3 Medium, 1 Large Wraps with Plants Pattern",$13.99,$672,38356,2585,4.4,FBA,4,No
B0BDQPPKFP,"Reusable Beeswax Wrap - 9 Pack, Beeswax Wraps for Food, Eco-Friendly Beeswax Food Wrap, Organic, Sustainable, Biodegradable, Zero Waste, Plastic-Free Food Storage (1L Giraffe | 3M Fox | 5S Bird)",$11.99,$83,139226,532,4.4,FBA,5,No
B0126LMDFK,"Bee's Wrap Beeswax Wraps for Food - 3 Pack of Assorted Beeswax Wraps - Small, Medium & Large Wrap - Plastic Free Made in USA Reusable Natural Food Wrap - Honeycomb Print",$18.99,"$2,985",8014,13000,4.6,FBA,6,No
B0C5LFMBCJ,"Reusable Beeswax Wrap, 11 Pack Eco-Friendly Beeswax Wraps For Food, Organic, Sustainable, Biodegradable, Zero Waste, Plastic-Free Food Storage, 1L Avocado, 2M Cherry, 4S Strawberry, 4XS Lemon Patterns",$11.99,"$1,199",25252,343,4.4,FBA,7,No
B0C5JW2R5H,"Reusable Beeswax Wrap, 11 Pack Eco-Friendly Beeswax Wraps For Food, Organic, Sustainable, Biodegradable, Zero Waste, Plastic-Free Food Storage (Flowers and Leaves)",$11.99,"$1,199",25212,343,4.4,FBA,8,No
B0F4W6S8H7,"Reusable Beeswax Food Wraps Set - 3 Pack (S,M,L) for Bread, Sandwiches, Cheese & Bowl Covers | Food Storage | Organic, Zero Waste, Plastic and Silicone Free",$9.99,$40,267219,28,4.1,FBA,9,No
B09TZT6N9W,"Akeeko Reusable Beeswax Food Wraps - Assorted 9 Packs, Eco-Friendly Reusable Wrap, Biodegradable, Zero Waste, Organic Cloth, Sustainable, Plastic-Free Food Storage, 1Large, 3Medium, 5Small Sizes",$13.99,$672,38355,2586,4.4,FBA,10,No
