ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FQV1TLQN,300 Pcs Medium Binder Clips Bulk 1.25 Inch Heavy Duty Paper Clamps Black Metal Binding Med Clips Office Supplies for Teachers Business,$29.99,$820,16611,19,5,FBA,1,No
B074XTRX7K,"Amazon Basics Sturdy Binder Clips, Office Supplies, Medium 1.25 in, Document Organizing, Black, 96 Count (8 Pack of 12)",$11.19,"$32,624",72,14297,4.8,FBA,2,No
B001TNWROO,"Staples Medium Binder Clips, 0.63"" Capacity, Black, 144 Clips/Pack (ST32003)",$19.34,"$1,357",3439,580,4.9,FBA,3,No
B0GQSX6FCV,"80 PCS Large Binder Clips 2 Inch(40Pcs) and 1.6inch (40Pcs), Jumbo Binder Black Paper Clamps Document Clips, Assorted Binder Clips for Office and Home Supplies",$19.99,$96,88892,9,4.8,FBA,4,No
B07DXSBT5J,"DSTELIN Binder Clips Paper Clamps Assorted Sizes 100 Count (Black), X Large, Large, Medium, Small, X Small and Micro, 6 Sizes in One Pack, Meet Your Different Using Needs.",$7.99,"$14,664",338,14088,4.8,FBA,5,No
B0G4C16GYQ,"300 Pcs Binder Clips Assorted Sizes, 6 Sizes Jumbo, Large, Medium, Small, Mini and Micro, Metal Paper Clamps, Bulk Black Metal Binding Med Clips Office Supplies for Teachers Business",$17.99,$86,65534,14,5,FBA,6,No
B0BR5SQRSC,"208 PCS Binder Clips Paper Clamps Assorted Sizes, Metal Paper Binder Clip, Black Binding Paperwork Clamp Bulk, School Teachers Office Supplies",$27.72,"$1,872",3387,600,4.8,FBA,7,No
B0BJLD4QL2,"Assorted Size Binder Clips & Jumbo Paper Clips Set - 340pcs Black, Large for Office & School Supplies, in Container with Compartments",$9.99,"$5,115",1402,1313,4.8,FBA,8,No
B0FGVN1P3Y,"Mr. Pen- Paper Clips and Binder Clips Set, 440 pcs, Colorful Binders & Paperclips Assorted Sizes with Plastic Storage for Home, School, Office Supplies",$4.99,$203,24955,5,5,FBA,9,No
B0C9QZX76J,"Binder Clips Assorted Sizes Including Extra Large Medium Small Mini and Micro, Office Supplies File Clamps Paper Clips, 6 Sizes in 6 Boxes, 208 PCS Metal Black Clamps for School",$24.99,"$1,373",10364,250,4.8,FBA,10,No
