ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D8NSRFNH,"Fsolis Book Nook Kit, 3D Wooden Puzzles for Adults DIY Booknook Bookshop Bookshelf Miniature Kit Mini House Building, Gifts for Book Lovers Readers Book Worms（OWL Bookstore）",$29.69,"$1,856",6465,1601,4.6,FBA,1,No
B0D5YNX5XK,"DIY Book Nook Kit with Music Box, Wooden 3D Puzzle Dollhouse with LED, Miniature House Kit Bookends for Adult and Teen, Bookshelf Decor, Creative Gift for Friends and Family. Soul Bookstore",$34.99,$9,391480,53,4.3,FBA,2,No
B0FWKB4RRX,"Spire of the Wyrm 3D Book Nook Kit, DIY Miniature House Booknook Dollhouse Kit for Adults and Teens, Book Nook Shelf Insert Decoration, The Tiny House for Home Decor Gift",$35.99,$9,238749,13,4.4,FBA,3,No
B0FKGVZW1R,"Book Nook Kit for Adults, Booknook DIY Miniature House Kit, Mini House Bookshelf Decor, Birthday Gift for Family, Friends - Time Book House",$29.99,$906,12541,318,4.5,FBA,4,No
B0FR4F7S6W,suruim DIY Book Nook Kit Bookend Puzzle Miniature Nook Library Bookshelf Insert Bookends Decoration Books Ornaments Gifts for Adults (Train Station),$12.49,$17,47132,180,4.4,FBA,5,No
B0D8FCS8HV,"CUTEBEE Book Nook Kit - DIY Miniature House Kit for Adults, Teens and Beginners, Dollhouse Booknook Library Tiny House Bookshelf Decor 3D Wooden Puzzle, Gifts for Family, Friends (Owl Bookstore)",$29.69,"$2,883",1009,1270,4.8,FBA,6,No
B0C5QP6WJ5,"CRIOLPO Book Nook Kit - DIY Doll House Booknook, Book Nook Miniature Kit for Bookshelf Doll Houses for Adults Teen Halloween, 3D Wooden Puzzle Bookends with Sensor Led Light",$39.99,$836,11269,2457,4.2,FBA,7,No
B0DFC5T7BK,"MiniCity Book Nook Kit, DIY Miniature Dollhouse Booknook Kit, 3D Wooden Puzzle Bookend Bookshelf Insert Decor with LED Light for Teens and Adults (Abbey Library)",$39.98,"$1,110",12191,1414,4.5,FBA,8,No
B0D61Z7Y3G,"CCCDF DIY Book Nook Kit, Miniature Dollhouse Booknook Kit, 3D Wooden Puzzle Bookend Bookshelf Insert Decor with LED Light for Teens and Adults (Beyond Library Max)",$49.36,$814,10261,641,4.6,FBA,9,No
B0DNMNPBSH,FUNPOLA LED 3D Puzzle Magic Station Book Nook Kit - Interactive 3D Wood Puzzle LED Magical Miniature with Infinite Extension Space - DIY Bookshelf Insert Decor Gifts(Magic Station),$59.99,"$1,756",4657,531,4.8,FBA,10,No
