ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CRR2TWF4,"Book Page Holder, Kaluofan 2PCS Thumb Book Page Holder, Book Accessories for Reading Lovers, Handmade Dried Flower Book Opener Holder Thumb, Meaningful Gifts for Book Lovers Teachers Students",$8.99,"$1,634",4668,1298,4.6,FBA,1,No
B0GLZKNKC5,"Personalized Wooden Book Page Holder, Handmade Walnut Thumb Bookmark with Initial A-Z, Ergonomic One Handed Reading Accessories, Literary Book Lover Gifts for Men Women Teachers Worms (Beech Wood, C)",$10.99,,,0,,FBA,2,No
B0D479TTP9,"Walnut Book Page Holder, Smooth Finish Wood Book Holder for Reading, Ideal Book Reader Gifts & Reading Accessories,Book Worm Gifts for Women, Thumb Book Page Holder (Large-N)",$7.99,$939,15073,494,4.3,FBA,3,No
B0G59TDRVN,"Personalized Book Page Holder with 26 Letters, Custom Finger Book Opener Thumb Bookmark with Initials for Women Men, Reading Accessories Gifts for Readers Book Lovers (Dark Color-01, Letter A)",$6.99,$365,23097,35,4.6,FBA,4,No
B0FBTZQB5H,"Book Page Holder, Silicone Book Thumb Page Holders for Reading Hands Free, Book Lovers Gifts & Book Accessories, 2 Pack (Small Size, Off White - Green)",$4.99,$854,13895,187,4.1,FBA,5,No
B0BG57MF1T,"Prasacco 2 Pieces Book Page Holder, Dried Flower Book Holders for Reading Thumb Ring Page Holder Flower Bookmark Reading Accessories for Readers Books Lovers Bookworm Bookmarks (2PCS Style5)",$6.89,$481,21236,543,4.4,FBA,6,No
B0BZZ59WDN,"Book Page Holder for Reading, 2 Pcs Transparent Thumb Ring Page Holder Handmade Personalized Resin Bookmark Thumb Bookmark Accessories for Teachers Book Lovers Literary",$5.19,$340,37557,260,4.1,FBA,7,No
B0CXPLFMJC,"Kartterfly Thumb Page Holder for Reading 2Pack, Energy Pattern Thumb Bookmark, Book Opener Holder, Book Finger Page Holder, Book Accessories for Reading Lovers(Pink and Olive-Green）",$4.99,"$1,534",2147,1184,4.2,FBA,8,No
B0CCHP18YD,2Pcs Book Page Holder Book Thumb Page Holder Thumb Ring Books Marks for Reading Accessories Transparent Bookmarks for Women Best Friend Friendship Christmas Gifts for Books Lovers Teacher Readers,$5.47,$247,28788,371,4.2,FBA,9,No
B0FXX8MB83,"Thumb Book Page Holder 2PCS, Handmade Dried Flower Bookmark, Book Accessories for Reading Lovers, Unique Gifts for Book Lovers Teachers Students",$4.99,$127,31730,4,5,FBA,10,No
