ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CGZPLXNK,"Portable Hangboard for Rock Climbing Holds,Fingerboard Trainer for Hand Grip Strengthener,Pinch Block Grip,Home Gym Fitness Workout Equipment -Hard Wood",$29.90,$157,39532,82,4.3,FBA,1,No
B0FLJZZS6N,"Handcrafted Boulder Block - Build Strength and Precision, Rock Climbers Gift for Mountain Climbing Present, 3D Rock Climbing Training Ball for Finger Strength, Finger Training Tool for Climbers",$26.99,$41,115517,16,2.1,FBA,2,No
B0GBXD3XMM,"Handcrafted Climbing Blocks,Boulder Block for Climbers, Finger Strengthener & Grip Trainer for Rock Climbers, Bouldering Training Tool - Ideal Gift for Beginners & Professionals",$18.99,$8,360435,1,1,FBA,3,No
B0GGX93YLB,"Handcrafted Boulder Block for Climbers,Finger Strengthener & Grip Trainer for Rock Climbers,Includes Detailed Instructions and Gameplay Rules,Bouldering Training Tool Gift",$16.99,$28,118194,0,,FBA,4,No
B08X1VY48M,"TWO STONES Climbing Hangboard Rock Climbing Training as Climbing Fingerboard with Jugs, Slopes and Edges, Pockets as Door Mounted Training Station Rock Climbing Pull Up Bar",$59.99,$451,20227,304,4.6,FBA,5,No
B0C7GX1KXC,"Portable Hangboard – Compact Fingerboard & Pinch Grip Trainer for Climbing, Bouldering and Grip Strength Training Anywhere",$33.90,$68,102491,24,4.8,FBA,6,No
B0G58MKHQZ,"Wenqik 2 Pack Portable Hangboard Rock Climbing Hang Holds Climbing Fingerboard for Indoor and Outdoor Bouldering, Finger Strength, Arm Workout and Pull-up Training (Pentagon)",$19.79,$14,177788,8,4,FBA,7,No
B0FJC6Z8RZ,"Portable Hangboard Rock Climbing, 2 Pack Lightweight Wooden Climbing Fingerboard for Bouldering, Finger Strength, Arm Workout and Pull-up Training",$28.99,$31,217788,3,5,FBA,8,No
B0FZGY19T9,"1 Pair Wooden Hangboard for Climbing Training – Dual-Pocket Grip Blocks for Finger Strength, Grip Power & Climbing Conditioning – Portable Beech Wood Fingerboard",$22.98,$49,106402,2,4.6,FBA,9,No
B0DZ1XP22W,"Wooden Hangboard Rock Climbing, Climbing Fingerboard with Mounting Kit for Bouldering, Finger Strength and Pull Up, Training Board with Adjustable Silicone Depth Spacers or Basic",$44.99,$14,194355,25,4,FBA,10,No
