ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B095CH12RK,"Field Points arrowheads 100/125/150/200/300 Grains Archery Field Points,Stainless Steel Screw in Archery Field Tips and Broadheads (1 Dozen 12 PCS)",$13.99,$466,21894,504,4.7,FBA,1,No
B08DNCN9Q4,"Hunting Broadheads, 12PK 3 Blades Archery Broadheads 100 Grain Screw-in Arrow Heads Arrow Tips for Crossbow and Compound Bow (Pack of 12)",$12.99,$1,673118,102,4.5,FBA,2,No
B0D8W7Z6FZ,"12pcs Archery Field Points, 100/125/150/300 Grain Field Points, Screw-in Archery Field Broadheads for Recurve, Compound Bow Crossbow, Archery Target Crossbow Practice Tip",$8.59,$639,16173,205,4.5,FBA,3,No
B09BKVP6GQ,6 Pack Hunting Broadhead 100 Grain 420 Stainless Steel Fixed Blade Broadhead Arrow Tips Archery Arrowhead for Crossbow and Compound Bow,$23.99,,29760,551,4.6,FBA,4,No
B0CDWK48YM,"SUNYA Broadheads 100/120/125/150 Grain Traditional Archery Arrow Tips for Compound, Recurve Bow & Crossbow, Pack of 12",$16.98,$294,33419,393,4.5,FBA,5,No
B01LNOZKVU,"Hunting Broadheads, 12PK 3 Blades Archery Broadheads 100 Grain Screw-in Arrow Heads Arrow Tips Compatible with Traditional Bows and Compound Bow",$14.99,$181,44012,8325,4.4,FBA,6,No
B0F83KZL82,Hunting Broadheads 6PK 100 Grains 420 Stainless Steel 3 Blades Mechanical Hunting Arrow Tips Archery Arrowhead for Crossbow and Compound Bow Hunting 2” Cutting Diameter,$30.99,$15,183368,155,4.3,FBA,7,No
B00QQNWE8G,"Rage Chisel Tip 2 Blade Broadhead, 100 Grain with Shock Collar Technology - 3 Pack, Red, Model:65100",$37.67,$82,141317,1711,4.6,FBA,8,No
B00AU6DAHY,"Rage Crossbow X, 2-Blade Archery Arrow Broadhead, 100 Grain with Shock Collar Technology (3-Pack)",$33.99,$198,49844,4549,4.7,FBA,9,No
B000IENPWS,G5 Montec Fixed 3-Blade Broadheads | 3-Pack | 85/100/125 Grains | Razor Sharp 1-Piece Construction | Screw in | Compound & Recurve Compatible,$35.98,$139,40286,1817,4.7,FBA,10,No
