ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08FC436JZ,"PAPERAGE Dotted Journal Notebook, (Blush), 160 Pages, Medium 5.6 in x 8 in - 100 GSM Thick Paper – Hardcover Journaling Notebook for Work, School & Bullet Journaling",$11.99,"$40,465",,64879,4.7,FBA,1,No
B08BR2DRJP,BEECHMORE BOOKS A5 Dotted Journal – 160gsm Thick Paper No-Bleed Bullet Notebook – Hardcover Dot Grid Logbook with Presentation Gift Box – Vegan Leather Sketchbook for Artists & Professionals,$14.95,$303,,754,4.6,FBA,2,No
B0CW5XK7W4,"&And Per Se Dotted Journal Notebook, A5 Hardcover Leather Dotted Journal, 160 Pages 100gsm Thick Dot Grid Paper, 3 Sheets of Stickers Included - 5.7'' x 8'' (Dark Red)",$7.98,"$8,147",,1873,4.7,FBA,3,No
B0D4V5PPZN,"&And Per Se Dotted Journal Notebook, A5 Hardcover with Journal Dotted Pages, Stencils & Pen, 176 Numbered Pages for Beginners Women Men (Light Apricot)",$13.98,$572,,242,4.6,FBA,4,No
B0C5874WLK,"Bullet Dotted Journal Notebook, 312 Numbered Pages A5 Hardcover Leather Journal, 100gsm No Bleed Paper Dot Grid Notebook with Index Pages, Dot Journal for Women Men, 5.75"" x 8.38"", Pink",$16.97,$933,,829,4.6,FBA,5,No
B0D5HFPCF1,"RETTACY Dotted Journal Notebook, 192 Pages, A5 Medium Size (5.7'' x 8.3''), Leather Hardcover, 100 GSM Thick Paper, for Journaling, Planning, Tracking (Black)",$7.99,"$14,219",,2848,4.8,FBA,6,No
B0CN6Y2C6P,"&And Per Se Dotted Journal Notebook, A5 Hardcover Leather Bullet Dotted Journal, 160 Pages 100 gsm Thick Paper, 3 Sheets of Stickers Included - 5.7'' x 8'' （Green）",$7.48,"$8,147",,1873,4.7,FBA,7,No
B0FJXRVXBF,"CAGIE Bullet Dotted Journal Notebook 320 Pages 100 GSM Paper Hardcover A5 Dot Grid Notebook Leather Journals for Writing Women Men Work Journaling, Green",$9.99,"$9,427",,3475,4.8,FBA,8,No
B0CS8SK1X7,"Thick Bullet Notebook with 366 Numbered Pages, A5 Dotted Journal for Writing with 100GSM Dot Grid Paper, Hardcover Leather Notebooks for Women Men School Note Taking Office Work Diary, 5.7""x8.3"" Black",$9.99,"$1,005",,483,4.6,FBA,9,No
B0B4VBNDYT,"Dotted Journal Notebook, 7 Pack Leather Bullet Dot Grid Journal for Women Men, Notebooks Bulk for Students, Office, Journaling, Writing, Drawing, 120 GSM Thick Paper, Numbered Page, A5, Multi Colors",$35.99,$261,,221,4.9,FBA,10,No
