ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B096975B24,"19-Inch 1U Metal Horizontal Rackmount Cable Manager with 5 D-Rings (1UCM5R440, Black)",$14.99,$29,54203,82,4.3,FBA,1,No
B08B46GBSY,"YECAYE 2 Pack Cable Management Box, Pet Friendly Cord Organizer Box for Home & Office, Child-Proof Cable and Power Strip Protector Box, Wire Hider and Cord Organizer for Desk, White",$23.99,"$1,762",2307,4339,4.6,FBA,2,No
B00B1EO1Z4,"D-Line Cable Management Box, Power Strip Holder, Floor Outlet Hiders, Desk Cord Organizer, Cover TV Wires, Wire Storage, Extension Hider, Office Concealer for Cords, Baby Proof Cables - Large, Black",$27.99,"$4,292",609,13799,4.5,FBA,3,No
B08JC55TTL,"2 Pack Large Cable Management Box – Wooden Style Cord Organizer and Cover for TV Wires, Computer, Router, USB Hub and Under Desk Power Strip – Safe ABS Material and Baby-Pets Proof Lock (White)",$25.99,"$1,779",2011,3660,4.5,FBA,4,No
B0GK6ZHGD1,"HOOBRO Wooden WiFi Router Storage Box, WiFi Router Organizer with Cable Management & Ventilation, Decorative Router Cover for Modem, Power Strip & Wires, Space Saving Tabletop Shelf, Walnut WL125CJ01",$35.99,,525225,0,,FBA,5,No
B0C9HB6ZZR,"Cord Organizer Box, Cable Hider for Power Strips, Surge Protector, Extension Cord and Wire Management, Cable Management Box (2PCS/Large and Medium Size/Black)",$19.99,$166,16072,181,4.4,FBA,6,No
B0G39N6PH6,"ORICO Cable Management Box, Cord Hider Box to Conceal Power Strips on Desk or Floor, Keeping Cords Tidy and Protected from Damage, Stylish Cable Organizers for Home, Office, School - PB03",$29.99,,73443,1,,FBA,7,No
B085ZC1KZL,"Cable Organizer Box Set of Three, Power Cover Cord Holder Surge Protector for Desk (Black)",$24.99,"$1,298",3139,3987,4.6,FBA,8,No
B0C9HRLXLG,"Cord Organizer Box, Cable Hider for Power Strips, Surge Protector, Extension Cord and Wire Management, Cable Management Box (2PCS/Large and Medium Size/White)",$19.99,$166,15210,181,4.4,FBA,9,No
B08M3FFCBR,"Under Desk Cable Management Tray, Cord Organizer for Wire, Cord Management Under, Wire Holders - Black Tray - Set of 2X 17",$22.95,$297,10081,10250,4.7,FBA,10,No
