ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DZC98DDP,"39"" Silicone Cord Hider for Wall Mount TV,Self-Adhesive Cable Hider for 1 Cord(1/4"" Diameter),Cable Management Under Desk,Cord Organizer,Cable Raceway Home & Office Trim,Cord Concealer Channel,White",$8.99,"$1,610",1883,272,4.5,FBA,1,No
B0DJF3TRYS,"Cord Wall Cover, 118in Self-Adhesive Wire Covers for Cords on Wall, Extension Cable Hider for Floor, Mounted Tv, Home and Office Cavity 0.63"" Wx0.31 H (White)",$16.99,"$1,403",2658,315,4,FBA,2,No
B0CYZPD7PZ,"YesBes 116in Cord Hider Kit, Cord Covers for Wires on Wall, Paintable Cable Raceway, Cord Hider for Wall Mount tv, tv Cable Hider Wall kit, Wire Covers for Cords, W0.96in X H0.57in, White",$8.99,"$10,216",161,3238,4.5,FBA,3,No
B07GPFDL1K,"Delamu Cord Hider, 157in Wire Covers for Cords on Wall, Premium Cable Hider Cord Covers for Wires, Cable Management Wire Hiders for TV, Cable Raceway Kit, W0.95 H0.55in, White",$13.99,"$22,089",68,41237,4.5,FBA,4,No
B08563XMS5,"D-Line 157in Cord Cover Kit, Self-Adhesive Wire Hiders, Paintable Cable Raceway to Hide Wires on Wall, Electrical Cable Management - 10x 15.7 Lengths & 19 Accessories - 1.18"" (W) x 0.59"" (H) - White",$26.99,"$7,067",398,5097,4.4,FBA,5,No
B09TDJB8L2,"Cable Hider Raceway Kit, 68in (4X L17in) Wire Hiders for TV on Wall, Paintable Cord Cover Channel, Cord Hider for Wall Mounted TV in Home Office, 0.95in (W) x 0.47in (H), White",$7.65,"$5,880",497,5529,4.6,FBA,6,No
B0BPCWH4G3,"Cord Hider, Wire Cover, Cord Covers Wall Mounted TV, Cable Hider, 315 in Paintable White Raceway Kit, Electrical Cords Concealer, Cable Management, Hide Cords Wall, Wire Molding, Adhesive Channel",$24.99,"$2,936",1592,1421,4.4,FBA,7,No
B09KYF3NWY,"D-Line Half Round Cord Hider, Patented Cable Cover, Hide TV Wall Mount Wires, Raceway for Cords, Decorative Wire Covers, Paintable, Adhesive Cable Concealer, 10x 0.78in W x 0.39in H x 15.7in L, White",$26.79,"$7,067",398,5097,4.4,FBA,8,No
B0D66S3727,"315in Cord Hider Kit, Paintable Cable Raceway, Cord Covers for Wires on Wall, Cord Hider for Wall Mount tv, tv Cable Hider Wall kit, Wire Covers for Cords, 20X L15.7in X W0.96in X H0.57in, White",$20.99,"$10,216",170,3238,4.5,FBA,9,No
B07M9VLH4J,"A+ ELECTRIC Cord Cover Full Kit, 26ft/315in Self-Adhesive Cable Raceway, 20 Snap-On Channels, Wire Hider for TV, HDMI & Speaker Cables, Includes Connectors & Corners, Paintable Cable Management, White",$26.59,"$2,262",2340,7695,4.5,FBA,10,No
