ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C66K9NHR,Calligraphy Kit for Beginners - Calligraphy Pen Set with Calligraphy Workbook,$29.99,$468,11062,454,4.6,FBA,1,No
B0BV6VTWVS,"PANDAFLY Calligraphy Pen, 10 Size Calligraphy Pens for Writing, Brush Pens Calligraphy Set for Beginners, Hand Lettering Pen for Art Drawing, Sketching, Scrapbooking",$8.99,"$1,590",3052,1014,4.6,FBA,2,No
B0FBWPWWR2,"10-Piece Chinese Calligraphy Brush Set - Premium Writing Brushes for Beginners & Artists - with Roll-up Bamboo Brush Holder,Chinese Painting Brushes Set Flower Bird Line-Drawing Brushes",$13.78,$59,71847,16,3.8,FBA,3,No
B0DBKT8PNM,"Dual Tip Brush Art Marker Pens, 80 Unique Color, Water-Based Ink, Fineliner & Brush Tip Pens for Arts Lover Adults, Coloring Drawing Book, Calligraphy Writing, Sketching and Doodling",$24.99,$25,152648,36,4.6,FBA,4,No
B0GDZVGC8B,"6 PCS Painting Writing Calligraphy Brushes Watercolor Set, Chinese Calligraphy Brush for Beginners Flower Bird Line Drawing Brushes with Roll up Brush Holder",$7.99,$31,130227,0,,FBA,5,No
B01M71S9DU,"Tombow 62038 Fudenosuke Brush Pen, 2-Pack. Soft and Hard Tip Fudenosuke Brush Pens for Calligraphy and Art Drawings",$5.87,"$4,962",1474,41047,4.7,FBA,6,No
B0B67TWWDG,"Brusarth Calligraphy Pens,8 Size Calligraphy Pens for Writing,Brush Pens Calligraphy Set for Beginners, Hand Lettering Pens",$8.95,"$1,479",2422,936,4.5,FBA,7,No
B0GJPT215K,"Brusarth Calligraphy Pens, 8 Size Dual Tip Black Acrylic Calligraphy markers for Writing, Brush Pens Calligraphy Set for Beginners, Hand Lettering Pen for Art Drawing, Sketching, Scrapbooking",$8.95,$394,16284,27,4.8,FBA,8,No
B0DZ1ZS15H,"MARTCOLOR Calligraphy Pens, 10 Size Calligraphy Pens for Writing, Brush Pen Calligraphy Set for Beginners, Calligraphy Brush Pens, Hand Lettering Pen for Art Drawing, Sketching, Scrapbooking",$5.99,$394,14265,207,4.5,FBA,9,No
B0CJ4YMBMH,"Quill Pen Ink Set with Seal Stamp - Feather Calligraphy Pen and Ink Set, Wax Seal Stamp Kit, Calligraphy Copybook,Beginner Calligraphy Quill Pen Lovers of All Ages Selection Gift (Grey)",$15.99,$28,121377,131,4.7,FBA,10,No
