ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GWZQDB3Z,"GPS Cat Tracker Collar(iOS & Android), Bluetooth Mini GPS Dog Tracker, Smart Pet Activity Tracker, No Monthly Fee, Work with Apple Find My & Google Find Hub, Finder Tag for Pets,Items 1P (Green)",$34.99,$226,,0,5,FBA,1,No
B0D3DV6CL6,Tractive Smart Cat GPS Tracker | Real-Time Location & Wellness Monitoring for Cats 6.5 lbs+ | Territory & Location History | Up to 5-Day Battery | Breakaway Collar Included (Mint),$24.50,"$2,745",4026,3965,3.9,FBA,2,No
B0F339G5TF,"Smart Slide-On QR Code Pet Tag – Silent Dog & Cat ID Tag with Laser Engraving – Stainless Steel & Silicone – No App Needed – Custom Pet Profile – Fits Most Collars (Light Pink, Small)",$14.99,$19,114020,15,3.5,FBA,3,No
B0GYC3QX3Y,"GPS Collar for Cats (Android Only) Smart tag,Pet Tracker,Waterproof Compatible with Google Find My,No Monthly Fee,Advanced Tracking Solution Smart Collar for Pet Safety Ideal Small Large Cats",$29.99,$25,10022,2,5,FBA,4,No
B0G4MBG13B,"Middle Rabbit Cat GPS Tracker Tag for Android, No Subscription | Pet Tracker for Cats, Works with Google Find My Device | Lightweight Collar Tag Alternative to AirTag for Android Phones",$16.99,$50,58404,0,,FBA,5,No
B0C75D8QZ9,Tractive Smart Cat GPS Tracker | Real-Time Location & Wellness Monitoring for Cats 6.5 lbs+ | Territory & Location History | Up to 5-Day Battery | Breakaway Collar Included (Dark Blue),$24.50,"$2,745",3962,3958,3.9,FBA,6,No
B0C8B84ZTB,"Waterproof Airtag 2nd & 1st Cat Collar, Breakaway Cat Airtag Collar with Luminous & Reflective Fish Pattern, Lightweight Kitten Collars for Apple Air tag, Hidden GPS Tracker Holder for Cats, Kittens",,"$4,648",2320,3039,4.3,FBA,7,No
B0G1RVJYVT,"Pet Tracker,GPS Collar for Cats,Smart tag,Waterproof Compatible with Find My,No Monthly Fee,Advanced Tracking Solution Smart Collar for Pet Safety Ideal Small Large Cats(Android User)",$15.99,$614,9791,146,3.2,FBA,8,No
B0GWHT7K7X,"GPS Tracker for Dogs & Cats – Waterproof, Lightweight, Mini Real-Time Pet Locator with 1-Year Battery, No Subscription or SIM Required, Track History, iOS & Android Compatible",$32.99,$63,35218,16,5,FBA,9,No
B0D3HB6YKY,"Reflective AirTag Cat Collar, Integrated Cat Tracker Collar with Air Tag Holder and Bell, Safety Elastic Band Cat GPS Collars for Girl Boy Cats, Kittens and Puppies (Green, XS)",$10.48,"$8,746",1158,3229,4.4,FBA,10,No
