ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0B6N6S2BD,"AMOSIJOY Cordless Cat Window Perch, Window Hammock for Cats with 4 Strong Suction Cups, Solid Metal Frame and Soft Cover, Indoor Cat Bed",$22.09,"$15,038",531,3169,4.4,FBA,1,No
B0CJ91Y3FL,"Zakkart Foldable Cat Hammock for Window - Cordless, Embeded Machine Washable Bed, Robust Metal Frame - Cat Window Perch for Large Cats and Kittens (White Bolster Bed, Large)",$29.99,"$1,023",8385,1794,4.7,FBA,2,No
B0FRMYVWN3,"CHEERPALS Cat Window Perch for Indoor Cats Hammock for Window with Reversible Cushion, Foldable Cat Window Bed for Large Cats and Kittens(White,Medium)",$31.99,"$2,815",2988,227,4.3,FBA,3,No
B0F9FD3115,"Zakkart SnugCloud Foldable Cat Window Perch - Cordless, Ultra Soft Machine Washable Bed with 4-Sided Bolster, Metal Frame - Window Hammock for Large Cats and Kittens (Cream White, Medium)",$24.99,"$7,600",1771,597,4.8,FBA,4,No
B0D8SGX18Y,Cat Window Perch Cushion Bed Cat Hammock with 4 Updated Suction Cups Easy to Assemble Window Bed for Heavy Large Cats (L 1Pc),$23.99,$48,55634,67,4.3,FBA,5,No
B0D9GJ6VTP,"AMOSIJOY 4 Pack Cat Window Perch Suction Cup, Strong Adhesive Replacement Suction Cup with Screws for Foldable & Cordless Cat Window Hammock Seat",$9.99,$356,19732,131,4.5,FBA,6,No
B09WDDGP2V,"AMOSIJOY Cordless Cat Window Perch, Cat Hammock for Wall with 4 Suction Cups, Solid Metal Frame and Reversible Cover, Foldable Cat Beds for Indoor Cats",$16.14,"$15,038",531,7665,4.6,FBA,7,No
B09WCY6Q9N,"AMOSIJOY Cordless Cat Window Perch, Cat Hammock for Wall with 4 Suction Cups, Anchor&Screw for Two Ways of Installation, Solid Metal Frame and Reversible Cover, Foldable Cat Beds for Indoor Cats",$15.19,"$15,038",581,7686,4.6,FBA,8,No
B08SQX65CN,"Zakkart Cat Window Perch - 100% Metal Supported from Below - Comes with Warm Spacious Pet Bed - Cat Window Hammock for Large Cats & Kittens - for Sunbathing, Napping & Overlooking (White)",$25.49,"$2,275",5391,4426,4.8,FBA,9,No
B0G4QLSVX5,"Woochpet Cordless Cat Window Perch for Kitty,Soft Plush Cushion Fabric Cat Hammock for Window with 4 Strong Suction Cups and Solid Metal Frame,Easy to Assenble,Foldable Window Seat for Cats Inside",$29.99,$25,53792,0,3.9,FBA,10,No
