ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CL6RGB2S,"Sensor Covers for Libre 3, Waterproof-60 Pack Overpatch for Lbre 3 Plus,Transparent CGM Adhesive Patches Lasting to 14 Days-Without Hole-HECHUAN",$9.99,"$4,637",9202,19831,3.9,FBA,1,No
B0C6XQ2G8V,"G7 Adhesive Patches Waterproof 20Pack G7 Overpatch Flexible CGM Tape Non-Glue Central Full Cover Hypoallergenic & Latex-Free Stelo Patch Overlay for 10-15 Days Long Stay, Multi-Colored",$9.99,"$1,749",19824,3817,3.4,FBA,2,No
B0GFX22B14,"Adhesive Patches for Dexcom G7 & Stelo CGM - Waterproof & Sweatproof Over Patches - Overpatches for Continuous Glucose Monitor Sensor Protection, Brown - 40 Patches",$19.99,$958,34202,89,4.4,FBA,3,No
B08SLXHN9W,60Pack Libre Sensor Covers Latex-Free Medical Adhesive Patches for Libre 2/3 Precut CGM Tape with No Glue On The Center Waterproof and Strong Stick for Long Stay,$9.99,"$4,839",11273,11530,3.8,FBA,4,No
B0DBHF6SJS,"Onida Dexcom G7 Adhesive Patches 20PCS,Waterproof Over Patches for G7 & Stelo Flexible CGM Tape,Pre-Cut Adhesive Medical Tape, Continuous Glucose Monitor Sensor Cover",$15.99,"$5,391",6901,1014,4.4,FBA,5,No
B09C7R4GHV,"Sensor Covers for Libre 3, Waterproof-50 Pack Overpatch for Lbre 3 Plus,Transparent CGM Adhesive Patches Lasting to 14 Days-Without Hole-HECHUAN",$9.98,"$4,637",9997,19831,3.9,FBA,6,No
B0BKL7CLX5,"25Pack Freestyle Bandage for Libre 3 Sensor Covers Waterproof 14 Days Overpatch Tape CGM Adhesive Patches Without Hole, Beige",$11.99,"$1,751",21875,6146,3.6,FBA,7,No
B0BL17K18L,"Skin Grip Adhesive Patches Compatible with Dexcom G7 & Stelo CGM – Waterproof & Sweatproof Cover for Continuous Glucose Monitor Sensor, Stays Secure for 10-15 Days – 20 Pack, Black",$25.99,"$11,046",4703,4305,4.4,FBA,8,No
B0DTV67YP8,Nepia 30 Pcs Flesh CGM Sensor Patches | Waterproof Adhesive for Dexcom G7/Libre1 2 3/Enlite | 14 Days Long-Lasting Protection | Sweatproof Sensor Covers with Comfortable Fit for Active Lifestyle,$9.99,"$1,948",20067,690,4.3,FBA,9,No
B08VDSW1PD,"25Pack Libre Sensor Covers Waterproof Latex-Free Freestyle Lingo Overpatches for Libre 1/2/3 Plus Sensor CGM Flexible Patches, with No Glue On The Center, 15 Days Long Stay, Beige",$11.99,"$1,751",19265,6146,3.6,FBA,10,No
