ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DHWRP2WX,"Pafusen Jigger for Bartending with 2 Pourers, Japanese Jiggers with 5 Measurements Inside, Jiggers 2 OZ 1 OZ, Shot Measure Jiggers, Bar jigger Bartender Tool Accessories, (Silver, 1 Jigger+ 2 Pourers)",$8.99,"$1,371",9305,164,4.6,FBA,1,No
B0FXWLB1SF,"2 Pack Jigger for Bartending，Premium Bell Jigge and Japanese Jiggers,Double cocktail Jigger Premium 304 Stainless Steel jigger 2 0Z 1OZ with Measurements inside",$18.90,$239,24248,37,4.9,FBA,2,No
B0CYZCRWNK,"2 Pcs Jigger for Bartending, Premium 304 Stainless Steel Jigger 2 oz 1 oz, Professional Heavy-Duty Double Jigger, Cocktail Jigger, Cocktail Measuring Cup",$9.99,$415,82819,109,4.7,FBA,3,No
B09NL9XBKJ,The Art of Craft Japanese Jigger: 1oz 2oz Stainless Steel Double Cocktail Jigger with Measurements Inside – Measuring Tool for Bartenders,$12.50,$25,238969,81,4.6,FBA,4,No
B0FJF1C6J9,"Lexenic oz/ml Dual Markings Jigger for Bartending, 304 Stainless Steel Heavy Duty Double Cocktail Jigger with 7 Measurements Inside, Japanese Jigger Bar Tool for Bartender Home Bar Party 1 Pack",$12.96,$107,46718,22,4.7,FBA,5,No
B08RCHQL11,"Briout Jigger for Bartending, Double Cocktail Jigger Japanese Premium 304 Stainless Steel Jigger 2 OZ 1 OZ with Measurements Inside",$6.99,"$8,927",589,6974,4.8,FBA,6,No
B0D2NJHZ2N,"Briout Jigger for Bartending, 2Pcs Double Cocktail Jigger Japanese Premium 304 Food Grade Stainless Steel Jigger 2 OZ 1 OZ with Measurements Inside",$10.99,"$8,927",596,6979,4.8,FBA,7,No
B07CN729TD,"A Bar Above Premium Japanese Jigger 8 Precise Measurement Markings, Heavy Duty 304 Stainless Steel Double Cocktail Jigger for Professional Bartenders & Home Use, Durable Bar Tool for Accurate Pouring",$16.00,"$1,190",8898,2398,4.8,FBA,8,No
B0FX24P64C,2-Pack Stainless Steel Cocktail Jiggers – Japanese Style Double Measuring Cups for Bartending (1oz/2oz + 0.5oz/1oz),$6.99,"$1,544",5643,78,4.8,FBA,9,No
B074HNXRZP,"Barfly Japanese Style Jigger, 1 oz x 2 oz, Stainless",$9.99,$736,19048,2848,4.8,FBA,10,No
