ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01M7WZFAS,"Descaler (2 Pack, 2 Uses Per Bottle) - Made in the USA - Universal Descaling Solution for Keurig, Nespresso, Delonghi and All Single Use Coffee and Espresso Machines",$13.98,"$23,700",,88426,4.4,FBA,1,No
B0DBR7GZ7M,"Universal Descaling Solution for Keurig, Nespresso, Breville, DeLonghi & Ninja (2 Uses) – Professional Coffee Descaler & Cleaner – Removes Limescale to Restore Flow & Temp – Odorless & Residue-Free",$8.49,"$18,684",,2692,4.4,FBA,2,No
B0F4CYBV46,"Coffee Machine Descaler (2 Pack) - 20 Uses - Keurig Descaling Solution - Universal Descaler for Keurig, Nespresso, Delonghi, Breville and All Single Use Coffee and Espresso Machines - Made in USA",$29.95,$19,,49,4.2,FBA,3,No
B01NBMAUAC,"WoldoClean Descaler Solution for Coffee Maker 25.4 oz - 6 Uses Descaling Liquid compatible with Keurig, Nespresso, Breville, Espresso Machines",$9.99,$162,,13628,4.4,FBA,4,No
B0G5YX8HXS,"Seaways Multi-Purpose Descaler and Cleaner Powder (40-Uses) for Ice Maker Machine, Kettle, Tumbler, Bottles, Coffee Machine, Faucets, Shower Head, Limescale and Build-Up Remover, 20*0.35 oz (2 Packs)",$14.99,$182,,39,4.2,FBA,5,No
B01IX0ZS9G,"Essential Values Universal Descaling Solution, Made in the USA for Delonghi, Keurig, Breville,Nespresso (4 Uses) Coffee Machine Descaler Cleaner for all Automatic Coffee Makers & Espresso Machines",$12.99,"$13,758",,35832,4.4,FBA,6,No
B0C913XXP1,"Coffee Machine Cleaner Descaler Tablets - 24 Count, Compatible With Nespresso, Keurig, Ninja, Delonghi, Miele, Coffee Maker Pot Descaling & Cleaning Tabs, Descale Drip Coffe And Espresso Machines",$16.96,"$27,379",,12459,4.6,FBA,7,No
B0C91BZ7TZ,"ACTIVE Coffee Machine Descaler Descaling Solution - 32oz (8 Uses) Compatible with Keurig,Nespresso,Breville,Delonghi, Jura, Ninja - Espresso Coffee Maker Cleaner,Coffee Pot Cleaning Limescale Remover",$16.96,"$27,379",,5170,4.3,FBA,8,No
B0GCDRCHLY,"iO CLEAN Coffee Maker Cleaner & Coffee Machine Descaler Tablets – 24 Count Universal Coffee Pot Cleaner and Descaler Solution – Compatible with Keurig, Nespresso, Ninja, Breville, DeLonghi",$9.99,$550,,27,4.9,FBA,9,No
B0FGFQ54SD,"Universal Descaling Solution for Keurig, Nespresso, Breville, DeLonghi & Ninja (4 Uses) – Professional Coffee Descaler & Cleaner – Removes Limescale to Restore Flow & Temp – Odorless & Residue-Free",$11.99,$560,,654,4.5,FBA,10,No
