ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B00FFLY64U,"Takeya Patented Deluxe Cold Brew Coffee Maker, 1 qt, Black",$19.39,"$4,021",7846,67492,4.6,FBA,1,No
B01CTIYU60,OVALWARE Airtight Cold Brew Iced Coffee Maker Pitcher and Tea Infuser with Spout - 1.0L / 34oz Ovalware RJ3 Brewing Glass Carafe with Removable Stainless Steel Filter,$40.99,"$1,511",25395,13505,4.5,FBA,2,No
B0CGWS1M51,"Cold Brew Coffee Maker,64 oz Mason Jar Pitcher with Stainless Steel Filter, Pour Spout Handle Lid, Heavy Duty Glass Airtight & Leak-Proof for Iced Coffee,Tea & Lemonade",$17.99,"$13,009",926,3957,4.5,FBA,3,No
B0F84CXFT3,"BrewMOO- Airtight Cold Brew Coffee Maker Pitcher, 1.4L/48Oz Thick Glass Carafe with Filter, Comfort Sturdy Handle & Wide Spout, Non-Slip Base | Iced Tea Maker (Black)",$38.28,$697,72480,98,4.4,FBA,4,No
B0CBPCYZTB,"YMMIND Cold Brew Iced Coffee Maker 34oz, Brewed Coffee Pot with Removable Double Mesh 304 Stainless Steel Filter, BPA-Free Cold Brew Pitcher Glass Container, Tea Maker",$32.99,$24,523369,159,4.4,FBA,5,No
B07VJJJ764,"County Line Kitchen Glass Cold Brew Coffee Maker with Lid - Wide Mouth, 2 Quart (64 oz) - Heavy Duty, Leak Proof - Sun & Iced Tea Pitcher, Cold Brew Coffee, Breast Milk Storage, Water - Gray",$27.99,"$2,107",14380,24757,4.8,FBA,6,No
B06Y27W76B,OVALWARE Airtight Cold Brew Iced Coffee Maker Pitcher (& Iced Tea Maker) with Spout – 1.5L/ 51oz Brewing Glass Carafe with Removable Stainless Steel Filter,$46.99,"$1,511",23469,13505,4.5,FBA,7,No
B0C16VSHKZ,"Cold Brew Mason Coffee Maker - 64oz Iced Coffee Pitcher with Stainless Steel Mixing Spoon & Super Dense Filter 3 Steps Finish Cold Brew Coffee, Classic BPA Free Sturdy Mason jar Pitcher Easy to Clean",$16.99,"$2,088",20447,1826,4.7,FBA,8,No
B07C36HVWK,"Takeya Tritan Cold Brew Coffee Maker - Airtight Pitcher with Leak-Free Lid - BPA-Free Cold Brew Maker with Silicone Handle - Dishwasher-Safe Pitcher for Homemade Cold Brew - 2 Quart, Black",$34.99,"$4,021",7862,67492,4.6,FBA,9,No
B08BGB9Q62,"Takeya Deluxe Cold Brew Coffee Maker - BPA-Free Tritan Pitcher with Airtight Leakproof Lid, Silicone Grip Handle, Fine-Mesh Filter - Shatter-Proof, Dishwasher Safe, Made in USA - 1 Quart/Stone",$24.99,"$4,021",7616,67492,4.6,FBA,10,No
