ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DC6LJY1K,"Silicone Cover Ice Bath Thermometer with Timer, Waterproof Floating Water Thermometer for Cold Plunge, Works with Ice Bath Tub Hot Tub Accurate Recovery(Black)",$19.99,$614,20091,285,4.1,FBA,1,No
B0FF7LPS4R,Pure55 PlungeGauge 3-in-1 Cold Plunge Thermometer with Clock & Timer - Ice Bath Water Thermometer with Easy 3-Button Control - Floating Design & IPX7 Waterproof with Audible Beep & LED Indicators,$19.99,$214,60460,47,3.8,FBA,2,No
B0CRB7H6YN,"XY-WQ Floating Pool Thermometer, Large Size Easy Read for Water Temperature with String - Swimming Pools, Spas, Hot Tubs, Ponds (Turtle)",$7.99,"$9,904",188,878,4.4,FBA,3,No
B0C59MQ1K3,"Floating Pool Thermometer, Large Display with String Easy to Read, Shatter Resistant, for Outdoor & Indoor Swimming Pools, Spas, Hot Tubs & Aquariums (Turtle)",$6.79,"$1,570",7026,1715,4.4,FBA,4,No
B0G6K75S9R,"LuxBlue Floating Pool Thermometer Solar Powered | Large LCD Display- Easy to Read | IP68 Waterproof Digital Pool Thermometer with String | Ultra-Precise Pools Water Temperature Gauge for Hot Tub, Spa",$19.87,$842,7670,62,4.4,FBA,5,No
B0CWPGCHBQ,"Pool Thermometer Floating Easy Read, Leisurely Polar Bear Water Thermometer for Ice Bath with String, for Outdoor & Indoor Swimming Pools, Spas, Hot Tubs & Aquariums",$11.99,"$1,295",8049,278,4.5,FBA,6,No
B0CW8RJ84S,"Cold Plunge Thermometer, Multifunction Floating Pool Waterproof Thermometer for Ice Bath, IP67, Accessories for Ice Bath & Cold Plunge",$9.99,$43,212469,132,3.9,FBA,7,No
B0G2LJTLZJ,"Pool Thermometer Floating, Water Temperature Thermometer with String, Large Size Easy Read & Shatter Resistant Pool Accessories for Outdoor & Indoor Swimming Pools, Spas, Hot Tubs & Aquariums.(White)",$9.49,"$4,050",1665,327,4.4,FBA,8,No
B0GCWKTZJ6,"Pool Thermometer Floating Easy Read - Upgraded IPX8 Swimming Pool Thermometer, Wireless Indoor Temp and Hum, 3-in-1 Weather, Enhanced 328ft Wireless Range, Pond/Hot Tub/Spa, Middle Ages",$28.49,$374,25455,2,3,FBA,9,No
B01GHM6XEQ,"[Large Floating Pool Thermometer] eLander Pro Water Thermometers, for Outdoor & Indoor Swimming Pools, Spas, Hot Tubs, Fish Ponds",$8.99,"$1,552",4779,5370,4.3,FBA,10,No
