ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FL7CFPHR,"Inflatable Ice Bath Tub for Athletes – 216-Gallon Cold Plunge Tub with Insulated Lid, Full-Body Stretch Design, Insulated & Water Chiller Compatible, Portable for Indoor & Outdoor Recovery",$249.95,$13,594069,2,4.5,FBA,1,No
B0DG9C9D2B,Cold Plunge | Upgraded 218 Gallon Inflatable Ice Freestanding Bathtub with 5 Layers Durable Design | Portable Cold Water Bath for Athletes' Recovery | Ice Bath for Outdoor and Camping | Black,$219.99,$11,273872,24,3.7,FBA,2,No
B0GGGWCD5B,"XXL Inflatable Ice Bath Tub for Athletes, 195 Gallon Cold Plunge Tub with Lid, Water Chiller Compatible, Portable Oval Freestanding Bathtub for Cold Water Therapy Recovery Indoor Outdoor Black",$279.99,$7,433276,7,4.6,FBA,3,No
B0DGSCCCP4,"TIGERXBANG Ice Bath Tub,Inflatable Cold Plunge Tub, Water Chiller Compatible,151.3Gallon Portable Ice Plunge Tub for Athletes, Adult Ice Bath Enthusiasts(Circle Classic Black)",$199.99,$3,767914,19,3.8,FBA,4,No
B0G4CH565T,"Rokia R XL 150-Gallon Inflatable Ice Bath Tub for Athletes – Water Chiller Compatible Cold Plunge Tub with 6-Layer Durable Design, Insulated Lid – Portable Recovery Tub for Indoor/Outdoor Use",$159.99,$2,681777,0,,FBA,5,No
B0F74Q25ZR,"The Pod Company Ice Pod Pro Cold Plunge Tub, 110 Gallon (420L) Inflatable Ice Bath for Adults, Fits Up to 6'7"", Insulated, Chiller Compatible, BPA-Free, UV-Resistant Nylon, Dual Drain Hoses",$79.00,"$1,378",9006,159,4.3,FBA,6,No
B0GWYY5B13,"Upgraded 175-Gal Oval Ice Bath Tub with Air Ring, Portable Drop-In Bathtubs for Cold Plunge - Foldable, Inflatable, Multi-Layered, with Lid, for Athletes & Adults, Home Gym Outdoor",$89.99,,68004,0,5,FBA,7,No
B0DSLBBCPQ,"Upgrade 129 Gal XL Large Oval Ice Bath Tub for Athletes, Collapsible Cold Plunge Tub-Multiple Layered for Post-Exercise Recovery, Portable Bathtub for Home, Gyms, Indoor, Outdoor use",$59.98,,26391,169,4.1,FBA,8,No
B0CTKWQK72,"Cold Plunge Tub – Portable Ice Bath Tub for Athletes & Adults – Inflatable Bathtub for Cold Water Therapy, Sports Recovery & Wellness – Outdoor & Indoor Use – 5-Year Assurance",$39.97,$35,215864,432,4.1,FBA,9,No
B0CZB38TTX,ONLYCARE Upgrade XXL 135 Gal Ice Bath Tub for Athletes - Cold Plunge Tub with Cover - Multiple Layered Cold Water Portable Ice Pod for Therapy Recovery at Home Outdoor Gym Use,$47.99,$132,43146,95,4.3,FBA,10,No
