ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F6NR7Z2X,"The Pod Company Standard Ice Bath Tub, 84 Gallon Cold Plunge Tub with Cover Lid, Portable Inflatable Ice Plunge Tub for Adults, Side Drain, Chiller Compatible (Requires Conversion Kit)",$41.60,"$1,302",5098,149,4.3,FBA,1,No
B0GX1C95VH,"AS ColdPlunge XXL Oval Cold Plunge Tub, 148 Gal Inflatable Ice Bath Tub with Insulated Lid, Reinforced Frame, Chiller Compatible Ice Pod for Athletes, Home Recovery, Indoor & Outdoor",$99.99,$1,796381,0,5,FBA,2,No
B0D4KGS7DP,"XL 105GL Cold Plunge Tub for Adults, 5-Layer Insulated Inflatable Ice Bath & Recovery Tub with Pump, Thermometer, 3 Reusable Ice Packs, Inflatable Lid & Drain, Indoor/Outdoor Athlete Bundle",$62.99,$10,228209,33,3.9,FBA,3,No
B0FSD4J81K,"Inflatable Ice Bath Tub for Athletes Compatible with Water Chiller Cold Plunge Tub for Recovery with Insulated Lid, Groundsheet and Backpack, Drop Stitch Construction, 115 Gallon, Grey",$199.99,$8,820206,2,4.5,FBA,4,No
B0D3868KNF,Frosty Ice Pod Pro Cold Plunge - Inflatable Ice Tub for Cold Water Therapy - Pro Grade Cold Plunge Ice Pod with Water Chiller Compatibility - The Ice Pod Cold Plunge Tub for Ice Bath and Ice Plunge,$199.00,$33,423042,110,4.2,FBA,5,No
B0GPVJ2HMX,"Wxtkkom Upgraded 175-Gal Oval Ice Bath Tub with Air Ring, Portable Drop-In Bathtubs for Cold Plunge - Foldable, Inflatable, Multi-Layered, with Lid, for Athletes & Adults, Home Gym Outdoor",$89.99,$75,90971,100,4.2,FBA,6,No
B0F74Q25ZR,"The Pod Company Ice Pod Pro Cold Plunge Tub, 110 Gallon (420L) Inflatable Ice Bath for Adults, Fits Up to 6'7"", Insulated, Chiller Compatible, BPA-Free, UV-Resistant Nylon, Dual Drain Hoses",$79.00,"$1,302",5190,149,4.3,FBA,7,No
B0FVLP4R5C,"XL 100 Gal Ice Bath Tub for Cold Plunge – Portable Inflatable Ice Pod with Insulated Lid & Dual Valves, Chiller Compatible Cold Plunge Tub for Ice Bath Recovery, Indoor & Outdoor Use",$59.99,$26,245078,23,4.5,FBA,8,No
B0GMWZV754,"XXL Ice Bath Tub for Athletes, Portable Bathtub, Inflatable Cold Plunge Tub with Cover& Pump,193-Gallon Long-Lasting Insulation, Water-Absorbent Mat, for Outdoor & Indoor Use",$219.99,$47,79174,3,5,FBA,9,No
B0D4Z41VQ8,"XXL Ice Bath Tub for Athletes, Compatible with Water Chillers, 216-Gallon Inflatable Cold Plunge Tub with Insulated Lid, Thermometer, Water-Absorbent Mat, Portable for Outdoor & Indoor Recovery",$348.95,$186,73416,118,4.6,FBA,10,No
