ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CZF4NV7X,"Collagen Peptides Gummies Sugar Free 3000mg Multi Collagen Blend for Hair Skin & Nails Support + 2500mg Keratin + 5000mcg Biotin, Hyaluronic Acid, Vitamin C & Zinc, 60 Gummies (Packaging May Vary)",$22.99,$90,16567,293,4.4,FBA,1,No
B0BSM4WRQY,"Lemme Glow Collagen Gummies for Thick Hair, Strong Nails & Healthy Skin with Multi-Collagen Peptides, Biotin, Trace Minerals, Zinc, Vitamins A, C & E, Dairy & Gluten Free, Peach Flavor, 60 ct.",$29.99,"$11,971",5316,1559,4.2,FBA,2,No
B0FRFNSLZ4,"Collagen Gummies + Biotin Soft Chews 3000mg for Women & Men, Ultra Hydrolyzed Collagen Peptides Boosting Type I,II,III,V,X, Vitamin C, E, Anti-Aging Formula for Hair, Skin & Nails, Digestion,Bone,60Ct",$29.14,$519,56692,66,4.4,FBA,3,No
B0DVLR6YS1,"Lumen Naturals Collagen Gummies for Women – Collagen Peptides with Vitamin C, E, Biotin, and Zinc – 120 Gummies – 60 Servings – Supports Beauty and Skin Health",$29.99,$22,337162,1,5,FBA,4,No
B0DC5646LC,"Multi Collagen Peptides Gummies, Sugar Free Hydrolyzed 5000mg Protein丨Type I,II,III,V,X with Biotin Hyaluronic Acid Vitamin C A D B6 B12 L-Glutathione for Skin Hair Nail Joint Bone -Peach Gummies",$19.99,"$1,040",32194,144,4.4,FBA,5,No
B08FNKSPD2,"Nature Made Collagen Gummies with Vitamin C, Zinc, Biotin, Hydrolyzed Collagen Peptides for Women and Men, Healthy Skin Support Supplement, 60 Gummies, 60 Day Supply",$10.99,"$32,049",1022,11359,4.6,FBA,6,No
B01F7W03PM,"OLLY Glowing Skin Gummy, Hydrated & Youthful Skin,* Hyaluronic Acid, Collagen Peptides, Sea Buckthorn, Plump Berry Flavor, 25 Day Supply - 50 Count",$11.47,"$15,357",3398,6667,4.5,FBA,7,No
B0F6NCYJNJ,"Collagen Gummies for Women & Men 3000mg, Hydrolyzed Collagen Peptides with Antioxidant Blend & Digestive Enzymes, Multi Collagen (Type I,II,III,V,X) for Anti-Aging, Hair, Skin, Nails, Sugar Free,60Cts",$29.19,"$2,189",14869,184,4.4,FBA,8,No
B0D151SB9D,"Biotin for Hair Growth Women/Men 12000mcg, Skin & Nails Support Gummies + 70000mcg Collagen Peptides (Collagen Powder in Gummy Form) + 20000mcg Keratin + Retinol, Sugar Free, 120 Gummies (2 Pack)",$24.89,"$4,604",11745,261,4.5,FBA,9,No
B07BHV28DR,"Nature's Bounty Optimal Solutions Hair, Skin & Nails with Biotin and Collagen, Citrus-Flavored Gummies Vitamin Supplement, 2500 mcg, 80 Ct, 40 Total Servings",$7.00,"$30,594",1135,45354,4.6,FBA,10,No
