ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C4NWGVTF,"Taimand Under Eye Patches (30 Pairs), 24K Gold Under Eye Mask for Puffy Eyes, Dark Circles,Bags and Wrinkles with Collagen,Relieves Pressure and Reduces Wrinkles,Revitalises and Refreshes Your Skin",$9.99,"$19,958",998,7576,4.3,FBA,1,No
B0BDDJGXDY,"Maskiss 24k Gold Under Eye Patches (50 Pairs), eye mask, Collagen Skin Care Products, Eye Patches for Puffy Eyes, eye masks for dark circles and puffiness",$21.24,"$60,472",183,13103,4.4,FBA,2,No
B014E2D6BY,"grace & stella Award Winning Under Eye Mask - Birthday Gifts for Women - Gel Eye Patches for Dark Circles, Puffy Eyes, Undereye Bags - Mothers Day Gifts for Mom - Vegan Self Care (24 Pairs, Gold)",$23.95,"$146,648",15,46263,4.4,FBA,3,No
B08DG3C22G,Under Eye Patches (20 Pairs) - Eye Patches For Puffy Eyes And Dark Circles - Under Eye Mask For Beauty & Personal Care - Under Eye Mask Amino Acid & Collagen For Dark Circles And Puffiness by Celor,$9.97,"$13,638",2141,22516,4.2,FBA,4,No
B08LBT2ZP5,"30 Pairs Under Eye Collagen Patches, Gold Moisturizing Under Eye Mask, Under Eye Gel Pads for dark circles and puffiness",$8.99,$757,29832,2657,4.5,FBA,5,No
B0DF85D7CG,MAREE 24k Gold Glow Under Eye Gels for Dark Circles and Puffiness - Cooling Collagen & Hyaluronic Acid Skincare Gel Pads - Gold Eye Patches for Puffy Eyes and Dark Circles - Under Eye Masks,$7.99,"$8,476",4712,5396,4.3,FBA,6,No
B0FXYCMSF2,"TEREZ & HONOR 24K Gold Retinol Under Eye Patches - 60 Korean Hydrogel Eye Masks with Collagen Peptide for Wrinkles, Dark Circles, Puffy Eyes, Radiance & Firming - Self Care, Gifts for Women and Men",$24.99,"$1,524",18216,103,4.3,FBA,7,No
B0BNSRN83T,"Maskiss 24k Gold Under Eye Patches (15 Pairs), eye mask, Collagen Skin Care Products, Eye Patches for Puffy Eyes, eye masks for dark circles and puffiness",$9.99,"$60,425",174,13103,4.4,FBA,8,No
B0BG8GP49T,"24K Gold Eye Masks for Dark Circles and Puffiness 70PCS, Under Eye Patches for Puffy Eyes Treatment, Under Eye Gel Pads w/ Collagen, Caffeine, Peptides for Eye Bags Treatment, Gel Eye Mask Skincare",$14.29,"$2,574",18735,2556,4.5,FBA,9,No
B0BDD7D34M,"Maskiss 24k Gold Under Eye Patches (25 Pairs), eye mask, Collagen Skin Care Products, Eye Patches for Puffy Eyes, eye masks for dark circles and puffiness",$12.74,"$60,425",200,13103,4.4,FBA,10,No
