ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DJJB7WS9,"Leaf Blower, Electric Cordless Leaf Blower with 2 Batteries and Charger, 2 Speed Mode, Lightweight Leaf Blowers for Blowing Leaves, Lawn Care, Patio Cleaning and Dust",$69.99,"$13,250",437,2676,4.4,FBA,1,No
B0FLX45THX,"Leaf Blower Cordless, 650CFM Electric Leaf Blowers with 2 x 5.2Ah Batteries and Charger, 3 Speed Modes, 1 x Adjustable Shoulder Strap, Powerful Blowers for Lawn Care, Patio, Dust, Blowing Leaves",$89.99,"$8,703",1505,986,4.4,FBA,2,No
B0FC2DZ49Q,"Cordless Leaf Blower with 2 Batteries, 580CFM Brushless Motor for Easy Lawn Care & Car Drying, Lightweight Handheld Blower Ideal for Women & Seniors, Fast Charger Included",$69.99,"$1,099",20608,159,4.4,FBA,3,No
B0921Q62XJ,"WORX Cordless Leaf Blower, 3 in 1 Blowers for Lawn Care with Leaf Vacuum & Leaf Mulcher, Electric Blower with Brushless Motor & 2 Speed Control, 2 × 4.0 Ah Batteries & Charger Included, WG583",$209.99,,7749,752,4.2,FBA,4,No
B0GS8QFK7Q,"WORX Cordless Leaf Blower, 3 in 1 Blowers for Lawn Care with Leaf Vacuum & Leaf Mulcher, Electric Blower with Brushless Motor & 2 Speed Control, 4 × 4.0 Ah Batteries & Charger Included",$309.98,,7234,0,,FBA,5,No
B0FMRQRX9Z,"Leaf Blower Cordless with 2 Batteries and Fast Charger, 210 MPH Battery Powered Blower with 3 Nozzles, 3 Speed Modes, Lightweight & Small Electric Leaf Blowers for Lawn Care, House, Leaves, Dust, Snow",$44.99,"$1,889",7073,1000,4.2,FBA,6,No
B0DS8C67NW,"Leaf Blower Cordless - 21V Powerful Electric Leaf Blower with 2 Batteries and Charger, 2 Speed Modes, 2.0Ah Lightweight Battery Powered Leaf Blowers for Lawn Care, Patio, Dust, Blowing Leaves",$59.97,$720,870,3245,4.3,FBA,7,No
B0FMK1J4ZF,"Leaf Blower Cordless,Electric Leaf Blower with 2 4.0Ah Battery Powered and Fast Charger, Lightweight Cordless Blowers for Spring Lawn Care and Dust,6 Speed Control",$59.98,"$2,159",10258,434,4.4,FBA,8,No
B0FB8N4PZ9,"40V Leaf Blower Cordless, 620CFM Brushless Electric Leaf Blower Cordless with 2×5.0Ah Batteries and Charger, Battery Powered Leaf Blowers 4-Variable Speed & Turbo Mode Blowers for Lawn Care, Yard",$159.99,$15,407326,22,4.1,FBA,9,No
B0GGRT3R91,"Leaf Blower Cordless, Leaf Blower with Battery and Charger - 2 Speed Modes, 2 Batteries, 20V Powerful Lightweight Electric Blowers for Blowing Leaves, Lawn Care, Patio, Green",$69.99,"$3,531",2395,301,4.5,FBA,10,No
