ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G6YLGLVS,"6.4 feet CPAP Hose Cover Compatible with Most Heated CPAP Tubes, Full-Length Zipper Soft Tube Sleeve Wrap, Prevent Rainouts Comfortable and Safe (Purple)",$13.99,$151,107775,38,4.7,FBA,1,No
B0FJDQ33XK,"Geiserailie 4 Pack CPAP Hose Adapter, 15mm and 22mm Tubing Diameters Connector, Tubing Adapter for CPAP Machine, Extend Your Ventilator Hose, Connects Tightly and Easy to Carry",$8.88,$470,49473,46,4.1,FBA,2,No
B0F7DMJ5FG,"Double-Sided 6.5 Ft CPAP Hose Cover for ResMed AirSense 11 & 10 ClimateLineAir Heated Tubing, Reduces Condensation & Noise CPAP Tube Cover, CPAP Hose Sleeve, Cat Proof CPAP Hose Protector",$16.99,$332,71301,28,4.5,FBA,3,No
B0G6TN13M6,"6.4 Feet CPAP Hose Cover Specifically for Use with CPAP Heated Tubing, Soft Tube Sleeve Wrap, Prevent Rainouts Comfortable and Safe",$13.99,"$1,241",29413,616,4.8,FBA,4,No
B096L2YPL8,"resplabs CPAP Hose Cover 6 ft - Soft Fleece Insulated Sleeve for Standard, Slim, and Heated Tubing - Reduces Condensation and Noise - Compatible with AirSense 11 and Most CPAP Machines",$14.99,$45,192887,2193,4.4,FBA,5,No
B08BZGBT45,"iGuerburn 6ft 4in CPAP Hose Cover for ResMed Airsense 11 & 10 ClimateLineAir Heated Tubing, Full-Length Zipper CPAP Tube Cover Sleeve Reduces Condensation & Noise, Cat Proof",$19.99,"$1,269",31059,1667,4.6,FBA,6,No
B00AE9G34E,Respironics 15MM Heated Tube for DreamStation,$19.88,"$4,468",11559,2201,4.7,FBA,7,No
B0F8QDFK22,"4 Pack Oxygen Enrichment Adapter, Oxygen Adapter Enrichment Port Connector fits CPAP Tubing Hose, Medical Grade Universal CPAP Tube Connector Compatible with Heated and Non Heated Tube",$11.99,$418,57595,75,4.7,FBA,8,No
B0CLRSFTN2,"6 Feet CPAP Hose Cover, Soft Tube Sleeve Wrap, Prevent Rainouts Comfortable and Safe",$9.99,"$1,241",29413,615,4.8,FBA,9,No
B0CCZS4KGD,"2-Pack, LifeSource Universal CPAP Hose Connector, CPAP Tubing Elbow Adapter, Compatible ResMed, Respironics, Resvent, More. Compatible with Standard and Heated Hoses 22mm and 15mm.",$9.99,$137,93738,187,4.4,FBA,10,No
