ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G7YN7MTN,"Creatine HCL Gummies 4000mg per Serving – High-Strength Performance Support, Split-Dose Absorption, No Bloating, No Mixing, Strawberry Flavor, 1 Pack",$24.99,$31,229001,3,,FBA,1,No
B0FGXN5TG1,"Creatine HCL Gummies 2000mg– Fast Absorbing Creatine HCL for Strength & Recovery – Easy-to-Take, Great-Tasting Creatine Gummies for Athletes & Fitness Enthusiasts ，More Gentle on Stomach",$29.99,$89,161655,6,4.6,FBA,2,No
B0FGDHKRXD,"GreenLab Creatine HCL+, 2000mg Female Performance Complex – Sugar-Free, Vegan, Raspberry Flavor – Chewable Gummies for Women, 90 Count",$23.70,$75,139290,33,4.2,FBA,3,No
B0CZCT69GM,"inGreens 6g Creatine Gummies – High-Strength Creatine Monohydrate Chews for Men & Women – Sugar Free Workout Supplement for Muscle Support, Strength, Energy & Recovery – 120 Count",$29.99,"$1,559",21467,295,4.4,FBA,4,No
B0F1PH6WM6,"WellPath Creatine HCl Gummies 750mg – Chewable Creatine Gummies for Women and Men – 5g Monohydrate Equivalent - Peach Yuzu Tart Flavor, Real Sugar - Cognitive & Performance Support – Non-GMO, 90ct",$15.99,$46,245325,32,4.2,FBA,5,No
B0FL8ZWD2B,"Creatine Monohydrate Gummies Complex 5000 MG for Men & Women, Preworkout Gummy with BCAA, L-Carnitine, Taurine & Vitamin B12 for Muscle Growth, Strength & Energy Support , Flavored and Chewable",$19.95,"$4,484",7380,166,4.4,FBA,6,No
B0DHYDTZL3,"CON-CRET Creatine HCl Gummies for Men & Women | Muscle, Cognitive, Cellular Energy Support | No Bloating or Cramps | USA Made | Berry Zing (60 Count)",$18.97,$641,41421,205,3.5,FBA,7,No
B0DYPG2TDJ,"Creatine Monohydrate 5000mg Gummies with BCAA, L-Carnitine, Taurine & Vitamin B12 - Pre Workout Supplement for Muscle Growth, Strength & Energy, Multi-Flavor Chewable Gummies, 90 Count for Men & Women",$15.99,"$3,677",17819,269,4.4,FBA,8,No
B0F86S9FPK,"Creatine Monohydrate Gummies 5g for Women & Men - Creatine Gummies for Women Pre Workout Chewables with L-Taurine & Alpha GPC, Sugar-Free Muscle Builder, Energy Boost, Vegan Non-GMO (160 Count)",$24.99,$720,45855,189,4.6,FBA,9,No
B0DZ2H8TM2,"Creatine Monohydrate Gummies 5000mg for Men & Women - Sugar Free Pre-Workout Supplement, Chewables for Muscle Strength, Muscle Builder, Energy Boost, Mixed Berry Flavor, 120 Count",$21.32,"$5,440",4594,211,4.5,FBA,10,No
