ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0763HRJWN,U-Taste 12 Piece Measuring Cups and Spoons Set in 18/8 Stainless Steel : 7 Measuring Cups & 5 Measuring Spoons,$32.99,$217,35848,6613,4.8,FBA,1,No
B0GVXC2SRR,"Aieve 5g Creatine Scoop,2 Pack Stainless Steel Measuring Scoops for Creatine Monohydrate Powder, Accurate 5 Gram Portion for Consistent Daily Intake",$7.99,,38596,0,,FBA,2,No
B082ZMPS1V,"Measure spoons | measuring spoons set of 6 | exact dosing 3 gram scoop, 5 gram scoop, 7,5g, 10g, 15g, 30g | kitchen measuring set for powder and liquids | plastic medicine spoon and cups",$9.90,$460,25198,93,4.7,FBA,3,No
B0GVMC3ZN4,"3 Pcs Stainless Steel Measuring Spoon Set, Teaspoon Creatine Scoop 5ml/10ml/15ml(1/3tbsp/2/3tbsp/1tbsp), for Protein Poweder, Creatine, Coffee, Cooking, Baking",$12.89,,,0,,FBA,4,No
B0823LN5KP,ONLYKXY 1/3/5/10g Measuring Spoons Coffee Protein Milk Powder Scoops Spoon Kitchen Tools,$5.49,"$1,091",11977,1075,4.1,FBA,5,No
B0DV4WJTZ2,"5 Gram Scoop for Creatine, Powders, Cooking, Recipes, Lab, Food Grade, Meets FDA Standards, USA Made - The Nature of Beauty Brand (2-Pack)",$6.95,"$2,870",3885,236,4.7,FBA,6,No
B0F4DP45WL,"measuring scoop set of 3 | 30g protein, 10g preworkout, 5 gram scoop creatine | supplement workout set | plastic spoons for nutrition",$7.90,$41,124990,5,4.6,FBA,7,No
B0F5WBHBG6,"3-Pack 5g Scoop for Creatine – White Measuring Spoons Calibrated for Creatine Monohydrate Powder – Accurate 5 Gram Portion Scoop for Supplements, Pre-Workout, Gym Use, Fitness Routine",$6.99,"$1,189",10064,83,4.5,FBA,8,No
B001FPMXXQ,"Lindy's MPC4 4-Piece Stainless Steel Measuring Scoop Set,Silver, 9 inches long",$19.99,$250,34389,2722,4.7,FBA,9,No
B0D3D27SNP,4 Packs Measuring Spoons Set 1g 3g 5g 10g Scoops for Coffee Protein Milk Powder Kitchen Tools for Accurate Measurements Spoons for Creatine Protein Formula Gram Measuring Scooper,$5.49,$213,47840,102,3.5,FBA,10,No
