ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D96P4Y7P,Cricut,$18.39,"$2,922",997,1238,4.7,FBA,1,No
B08CXJ9QPY,"HTV Heat Transfer Vinyl Bundle 37Pack 12"" x 10"" Vinyl Sheets,Iron On Vinyl for Cricut & Heat Press Machine,More Than 20 Assorted Colors for DIY Fabrics T-Shirts",$18.99,"$1,050",6848,3660,4.6,FBA,2,No
B08XM3BZPG,HTVRONT,$29.59,"$1,823",2948,7859,4.7,FBA,3,No
B09JSZ3KV5,Tintnut,$14.99,$484,15338,522,4.6,FBA,4,No
B0DXXC9HL6,Cricut,$13.98,"$2,922",1000,1238,4.7,FBA,5,No
B0F62CDSV9,HTVRONT,$10.99,"$1,003",5354,1242,4.6,FBA,6,No
B083NZRZW8,"Heat Transfer Vinyl Bundle - 43 Pack 12"" x 10"" PU Iron on Vinyl for T-Shirt, 32 Assorted Colors HTV Vinyl for Heat Press Machine - Easy to Cut, Weed & Transfer",$17.99,"$1,173",7407,35586,4.6,FBA,7,No
B0D96P8T9G,Cricut,$42.99,$173,40682,305,4.7,FBA,8,No
B0F43ST129,"PU Heat Transfer Vinyl Multicolours, 12In*10In*47PCS Iron on for T Shirts .Easy to Cut and Weed Compatible with All Cutter Machines HTV Iron on Vinyl for Cricut",$15.98,$881,9459,270,4.5,FBA,9,No
B0C49673R4,Tintnut,$16.99,$326,25804,118,4.1,FBA,10,No
