ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CQT1GBSF,"Leczany Cross Stitch Stamped Kit for Beginner - Beautiful Scenery by The Lake | DIY Embroidery Starter Patterns Craft Kit Needlepoint for Adults | 11CT, 3 Strands | 13x16.9 inches",$19.90,$73,41061,61,4.5,FBA,1,No
B09F9YBHRN,"Kraftex Stamped Cross Stitch Kits for Beginners (Flower Theme - 6.75 Inch - 4 Pack 1 x Embroidery Hoop) Embroidery Needlepoint Patterns for Adults, Includes Poppy, Rose, Sunflower and Pansy",$9.99,$965,5463,729,4.4,FBA,2,No
B0D1Y28SQB,"4 Pack Embroidery kit for Beginners Adults DIY Starter Kit, Cross Stitch Kits with Flower Stamped Patterns, Embroidery Hoop, Tools,Colorful Threads,Step by Step Instructions,Hand Craft Lover Gift",$19.99,"$1,542",5267,578,4.6,FBA,3,No
B0BVMYFND7,"Konrisa Embroidery Starter Kits with Butterfly Flower Pattern, Stamped Cross Stitch Kits for Beginners Adults DIY Sewing Include Embroidery Hoop Embroidery Fabric Threads and Needles,Set of 2",$12.99,$502,11909,176,4.6,FBA,4,No
B0FPVN3X3L,"Flowers Stamped Cross Stitch Kits for Beginners Adults,Daisy Patterns Dimensions Needlepoint Art Crafts,Counted Cross Stitch Kits Embroidery Kits for Beginners Adults for Home Decor 13.8x13.8 inch",$6.99,$702,16758,53,4.4,FBA,5,No
B0FD8NJGQ8,"HKLIOPU Stamped Cross Stitch Kits - Love Tree Embroidery Starter Kit for Adult Beginners, 11CT Needlepoint Cross-Stitch Patterns Dimensions Kit Arts and Crafts 13.8X 13.8 inch",$8.99,$703,13654,319,4.2,FBA,6,No
B0C8V5R2FQ,Kraftex Floral Stamped Cross Stitch Kits for Beginners - 3 Pack. DIY Embroidery Needlepoint Patterns for Adults. Easy Cross Stitch Kits for Beginners (Garden Creatures),$9.49,$965,5564,729,4.4,FBA,7,No
B0DBCWRT3X,Flower Stamped Cross Stitch Kits - Colorful Flower Counted Cross Stitch Kits for Beginners Adults Needlepoint Cross-Stitch Patterns Dimensions Needlecrafts Embroidery Kits Arts and Crafts,$8.99,$272,23558,278,4.3,FBA,8,No
B0CSDCHJ3C,"Maydear 4 Pack Embroidery Starter Kit with Pattern, Stamped Cross Stitch Kits for Beginners Adults with Embroidery Hoop and Instructions, Hand Embroidery Kit (Embroidery kit flower2)",$19.99,$457,22070,727,4.2,FBA,9,No
B0DTFH8YQJ,"Stamped Cross Stitch Kits for Adults - Sunflower Inspirational Embroidery Kits for Beginners Adults,11 CT Patterns Dimensions Counted Cross Stitch Kits Arts Craft 12x16 inch",$7.99,$883,12510,632,4.4,FBA,10,No
