ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B003DR0SEK,"Extinguisher Deer Call by Illusion | Grunt Tube | Buck, Doe, Fawn | Adjustable 10-in-1 Call | Color (CAMO/Black) | Freeze Resistant",$29.97,$384,27867,11698,4.6,FBA,1,No
B000JUTH7I,Primos Hunting Primos Trophy Grunter Call,$14.99,$84,73429,1297,4.5,FBA,2,No
B08F32N6NV,Woodhaven The Intimidator,$24.99,$84,78646,1279,4.7,FBA,3,No
B0F9FRNLYL,"Grunt Tubes - Big Woods Boss Grunt Tube & Rut Camp Grunt Tube – Hardwood Deer Calls with Adjustable Tone for Realistic Buck Grunts, Doe Bleats & Fawn Sounds",$38.99,$5,242201,8,5,FBA,4,No
B00TP8HRCM,Flextone Hunting Realistic Mature & Young Buck Sounds Natural Bone Grunt’R Easy To Use Whitetail Deer Game Call,$10.99,$51,118912,243,4.6,FBA,5,No
B07WSYMC17,Hunters Specialties Hunting True Talker OG Deer Call - Realistic Five Common Deer Vocalizations Game Call w/Lanyard,$22.57,$21,158259,521,4.2,FBA,6,No
B075FJPXJH,"Nationwide Scents Deer Grunt Call and Rattle Bag Combo - Durable, All-Weather Deer Hunting Calls for Whitetail Bucks",$49.99,$5,208557,1047,4.5,FBA,7,No
B0C688Y624,Deer Call for Whitetail Deer and Rattle Bag Buck Call - Authentic Deer Antlers Rattling Sound - Realistic Deer Caller for Doe Bleat and Fawn Distress Calls,$20.99,$3,255041,27,4.1,FBA,8,No
B001FBD2XK,Quaker Boy Hunting Deer Calls,$23.87,$33,146083,329,4.6,FBA,9,No
B07SKXTZWW,BUCK COMMANDER Deer Calls for Hunting –Whitetail Game Calls,$17.79,$16,213528,564,4.2,FBA,10,No
