ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FPFZFXXT,"RGB Gaming Mouse Pad Wireless Charging Desk Mat with Foldable Phone Stand, Large LED Gaming Mat 800x350x4mm, 15 Light Modes, Waterproof, Keyboard Pad for PC Computer, Includes 20W PD Power Adapter",$39.99,$54,86001,12,5,FBA,1,No
B0DY4MVGND,"RGB Gaming Mouse Pad with Fast Wireless Charger, LED Extended Desk Mat, Home Office Large Desk Pad with Ultra-Smooth Surface, Non-Slip Base, Waterproof Keyboard Pad (Black)",$49.49,"$1,323",4569,67,4.5,FBA,2,No
B0CGJBJ2X7,"XXL Mouse Pad with Phone Holder - Black, RGB Desk Mat with 15W Fast Charging, LED Gaming Mousepad with 11 Light Colors, Waterproof Non-Slip Pad for Office & Home",$49.99,"$1,388",8406,191,4.6,FBA,3,No
B0DG2TD9BH,"TopMade Mouse Pad with Wireless Charging, 31.5"" x 11.81"" Large Desk Mat RGB Gaming Mousepad, LED Desk Pad Keyboard Pad with Ultra-Smooth Surface & Non-Slip Rubber Base, Waterproof Desk Pad",$26.99,$552,21991,420,4.4,FBA,4,No
B0776SKMGH,Wireless Charging Mouse Pad with Phone Holder Gaming Mousepad Desk Mat 15W Qi Fast Charging Pad Ultra-Smooth Surface Non-Slip Extended Premium Black Computer Keyboard Mat for MacBook PC Laptop,$29.25,$130,65442,1814,4.6,FBA,5,No
B07R47ZGL4,"Extended RGB Gaming Mouse Pad, Extra Large Gaming Mouse Mat for Gamer, Waterproof Office Desktop Mat with 10 Lighting Mode, for PC Computer RGB Keyboard Mouse - 31.5'' x 15"" x 4mm(Map)",$22.98,$48,5940,2840,4.7,FBA,6,No
B08QFB5KVS,"RGB Mousepad Led Mouse Pad, Large Mouse Pad,Led and Big Mouse mat",$13.99,"$2,274",3987,8260,4.6,FBA,7,No
B07L4BGL3D,"BladeHawks Extra Large RGB Gaming Mouse Pad-14 Light Modes, Extended Soft LED Mouse Pad, Anti-Slip Rubber Base, Computer Keyboard Mousepad Mat (31.5 x 12 Inch)",$13.99,"$1,502",6673,15691,4.7,FBA,8,No
B08LCY54VB,"Gerlos RGB Gaming Mouse Pad, Large Extended LED Desk Mat with 12 Light Modes, Non-Slip Rubber Base, Water-Resistant, 31.5×11.8 Inch",$29.99,$323,18737,1212,4.6,FBA,9,No
B08QCVNTCJ,"KTRIO RGB Large Gaming Mouse Pad Desk Mat, Superior Micro-Weave Cloth for Precise Mouse Control, Non-Slip Rubber Base, Stitched Edges, Water-Resistant, for Gamer, Office & Home, 31.5 x 11.8 in",$18.04,"$5,171",771,40138,4.7,FBA,10,No
