ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D2W4YRQ5,"YOUSHARES Insulin Cooler Travel Case with Temperature Display - Refrigerated Medicine Cooling Bag with 2 TSA Approved Ice Pack, Medication Pen Diabetic Supplies Organizer for Trip and Daily",$14.99,"$15,085",3083,4094,4.3,FBA,1,No
B08J6WQZ2P,4ALLFAMILY Voyager Insulin Cooler with Auto Shut-Off – Insulin Cooler Travel Case TSA Approved for 30H – Blue USB Powered Medication Travel Case with Ice Pack for Temperature-Sensitive Meds,$199.99,"$1,106",22643,880,4.4,FBA,2,No
B0F26LQ9SG,"Insulin Cooler Travel Case TSA Approved Diabetic Medicine Cooling Bag with Digital Temperature Display, 2 Ice Pack",$22.99,"$3,420",15383,368,4.5,FBA,3,No
B0DT72TT3W,"YOUSHARES Insulin Cooler Travel Case with 2 TSA Approved Ice Packs, Diabetic Medication Cooling Bag with Temperature Display, Refrigerated Insulated Storage Kit for Insulin Pen and Diabetes Supplies",$21.99,$231,105262,907,4.6,FBA,4,No
B0FXFT9J7M,Insulin Cooler Travel Case with Real-Time Temperature Display | TSA Approved Medical Cooling Bag | Refrigerated Diabetic Supplies Organizer for Travel,$14.99,$5,383379,0,4.3,FBA,5,No
B0FPQ9HPFX,"suzamed Insulin Cooler Travel Case,EVA Insulation Travel Medicine Kit with Temperature Display for Diabetes Care,Insulin Pen and Other Diabetic Supplies (Purple-Temp)",$9.99,"$5,457",12600,181,4.4,FBA,6,No
B0D6VPSDGL,"YOUSHARES Insulin Cooler Travel Case with Temperature Display - Refrigerated Medicine Cooling Bag with 2 TSA Approved Ice Pack, Medication Pen Diabetic Supplies Organizer for Trip and Daily",$14.99,"$14,435",2907,4094,4.3,FBA,7,No
B0F26MYBDV,"Insulin Cooler Travel Case TSA Approved Diabetic Medicine Cooling Bag with Digital Temperature Display, 2 Ice Pack",$22.99,"$3,420",15383,368,4.5,FBA,8,No
B0F26M71TJ,"Insulin Cooler Travel Case TSA Approved Diabetic Medicine Cooling Bag with Digital Temperature Display, 2 Ice Pack",$22.99,"$3,304",14321,368,4.5,FBA,9,No
B0D2W58WMD,"YOUSHARES Insulin Cooler Travel Case with Temperature Display - Refrigerated Medicine Cooling Bag with 2 TSA Approved Ice Pack, Medication Pen Diabetic Supplies Organizer for Trip and Daily",$14.99,"$15,085",3081,4094,4.3,FBA,10,No
