ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F3CQZ3B4,"Krypthos Diabetic Supplies Travel Case, Carrying Case for Diabetes Blood Glucose Meter, Portable Diabetes Testing Kit Storage Organizer Bag for Blood Sugar Test Strips, Lancets, Lancing Device-Black",$13.22,"$1,284",29103,371,4.8,FBA,1,No
B0C1SDGY65,"GDNasist Medicine Storage Bag, Pill Bottle Organizer for Emergency, Medicine Box Empty with Small Portable Pouch, First Aid Box for Travel and Home Storage",$32.99,$439,59590,349,4.7,FBA,2,No
B0C8H8N7F6,"ProCase Diabetic Supplies Hard Travel Case, Diabetes Storage Bag for Glucose Meter, Insulin Pen, Blood Sugar Test Strips, Syringe, Needles and More Kits, Diabetic Care Kits Organizer Holder -Black",$18.99,$464,44886,753,4.6,FBA,3,No
B0F4K7P2JT,"Diabetes Travel Case EVA Hard Shell Diabetic Supplies Bag Organizer for Blood Sugar Testing Kit, Glucose Monitor Kit with Meter, Glucose Test Strips, Lancets, Lancing Device, Alcohol Wipe (Purple)",$13.98,$553,52667,346,4.6,FBA,4,No
B0B9GZ3B3L,"Diabetic Supplies Travel Case Organizer for Test Strips, Lancets, Needles, Lancing Device, Glucose Meter, Alcohol Wipes, Insulin Pens, Syringes, Diabetes Testing Kit Storage Bag (Pink)",$8.49,$390,79571,1078,4.4,FBA,5,No
B0FG75DT2S,"Krypthos Diabetic Supplies Travel Case, Portable Diabetes Organizer for Glucose Meter, Blood Sugar Test Strips Kit, Insulin Pens, Vials, Syringes, Lancing Device and More with Adjustable Dividers",$19.99,$511,48058,99,4.6,FBA,6,No
B0FKGLZQ37,"Gealaek Diabetes Supply Case, Diabetic Organizer Carrying Case Kit With Diabetes Alert Tag and Medical Card, Portable Glucose Meter Storage Bag",$5.99,$87,134984,31,4.5,FBA,7,No
B09KZG33XM,"MEDMAX Insulin Cooler EpiPen Carrying Case Insulated, Travel Medication Diabetes Supplies Organizer Bag with Shoulder Strap for Asthma Inhaler, Auvi-Q, Allergy Medicine Essentials (Black)",$25.99,$439,53361,1284,4.7,FBA,8,No
B09NVXZVKV,"CURMIO Diabetic Supplies Bag for Glucose Meter, Medication and Other Diabetes Care Supplies, Diabetes Travel Organizer Case with Detachable Pouches, Purple (Bag Only)",$14.44,$221,106129,781,4.7,FBA,9,No
B07K2ND5WC,"LUXJA Diabetic Supplies Travel Case, Storage Bag for Glucose Meter and Other Diabetic Supplies (Bag Only), Purple",$16.99,$336,79602,4594,4.7,FBA,10,No
