ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07DHD3CSY,RELIFE REBUILD YOUR LIFE Dip Station Functional Heavy Duty Dip Stands Fitness Workout Dip bar Station Stabilizer Parallette Push Up Stand,$47.58,"$4,937",1124,5078,4.3,FBA,1,No
B0B73XM8ZB,"HOTWAVE Push Up Board Fitness, Portable Foldable 20 in 1 Push Up Bar at Home Gym, Pushup Handles for Floor. Professional Strength Training Equipment For Man and Women",$31.99,"$10,621",475,5642,4.5,FBA,2,No
B0BYRN685G,IUT Solid Push Up Board 15 in 1 Home Workout Equipment Multi-Functional Pushup Stands System Fitness Floor Chest Muscle Exercise Professional Equipment Burn Fat,$19.96,"$6,556",716,4718,4.5,FBA,3,No
B0GFMY54PF,"Sportneer 3-in-1 Rotating Push Up Bars, Push Up Stands & Push Up Handles for Floor, 360° Rotation for Wrist-Friendly Training with Detachable Twist Board, Non-Slip Home Gym Equipment 300lbs",$29.99,$71,44938,0,4.8,FBA,4,No
B0D9VSYV65,"TABEKE Push Up Bar, 12"" High Parallettes Bars & Dip Bar With Full-Cover Foam Handles, No Wobbling Calisthenics Equipment For Handstand, L-Sit, Gymnastics, Strength Training Home Gym",$29.69,$248,27043,394,4.6,FBA,5,No
B077Z8N3WW,RELIFE REBUILD YOUR LIFE Dip Station Functional Heavy Duty Dip Stands Fitness Workout Dip bar Station Stabilizer Parallette Push Up Stand,$54.98,"$4,617",1052,5081,4.3,FBA,6,No
B0D91SLKJ8,"Sportsroyals Adjustable Dip Bar Station, Heavy Duty Parallette & Parallel Bars, 400LBS Stable Dip Stands for Home Gym, Calisthenics & Upper Body Workout Equipment",$47.47,"$3,242",1785,2267,4.5,FBA,7,No
B0CZ3H4M57,RELIFE REBUILD YOUR LIFE Dip Station Functional Heavy Duty Dip Stands Fitness Workout Dip bar Station Stabilizer Parallette Push Up Stand,$31.99,"$4,617",1060,5084,4.3,FBA,8,No
B09N77Z84N,"Teclor Push Up Bar, Parallettes Bars For L-sit & Dip, Heavy-Duty No Wobbling Parallel Bars Stand For Handstands, Full Planche, Calisthenics, 9.5in High Workout Stands for Home Fitness Training",$35.99,$762,7601,747,4.5,FBA,9,No
B0FP5MYZHC,"Dip Station Functional Heavy Duty Dip Stands Fitness Workout Dip bar Station Stabilizer Parallette Push Up Stand, Adjustable Dip Bar Station for Home Gym, Calisthenics & Upper Body Workout Equipment",$25.99,$13,356568,9,4.4,FBA,10,No
