ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DNF52P95,"modelones 3D Gel Nail Art Kit, Non-Sticky Solid Builder Sculpting Gel for Nail Art Molding & Extensions with Chrome powder for Beginner DIY or Salon Spring Nails at Home Cured Needed",$8.99,"$1,562",15894,351,4.4,FBA,1,No
B0C4YQGM4D,"Beetles Builder Gel for Nails-3 Colors 9 in 1 Nail Extension Sculpting Building,Clear Nude Pink Hard Gel Kit with Base Top Coat for Pros,Gifts for Women,UV & LED Lamp Cured Needed",$19.99,"$13,463",2049,2704,4.4,FBA,2,No
B0DJSQ2NJ8,"Makartt Clear Gel Builder Kit: Self-Levelling, Long Lasting Extension Hard Gels for Strengthener, Broken Nails Repair Gel Kit with Paper Forms, Dual forms, Nail File and Dual-End Brush 1.06 oz",$9.99,"$2,876",17578,979,4.3,FBA,3,No
B0CVWZQZGS,"Fcozpjk Poly Extension Gel Nail Kit, Clear White Pink With Slip Solution Dual Builder Nail Forms, Clips for Poly Gel, Starter Kit for Home Manicure Set, Nude",$8.99,"$3,983",9182,2878,4.1,FBA,4,No
B0B8X6D7CV,JEWHITENY Poly Extension Gel Nail Kit 14 PCS Poly Gel Kit with Slip Solution and Mini Lamp Nail Art Design Beginner,$17.99,"$3,600",4891,11768,4.2,FBA,5,No
B092JN7ZLZ,"Nail Forms for Gel Builder - 100 Pcs Self Adhesive Nail Extension Stickers for Acrylic, UV & Poly Gel with Tip Sculpting Guide - Nail Art for Home & Salon (Pack of 100)",$3.99,"$2,062",17627,2852,4.2,FBA,6,No
B08LV7VCVB,SAVILAND Builder Nail Gel Kit - 60g Clear Nail Extension Gel Set Nail Strengthen Nail Art Manicure Set with 100PCS Nail Forms and Acrylic Nail Brush for Beginners,$9.99,$805,23844,4481,4,FBA,7,No
B0CB5ZVPPZ,SAVILAND Builder Gel Nail Kit with Nail Drill - 3 Pcs Hard Gels for Nails(VE&VB5&Kerain) Clear Pink Nudes Builder Gel with Lamp Brush Nails Strengthener Gels for Extension Shaping DIY at Home Salon,$29.99,$305,46330,1602,4.1,FBA,8,No
B0CKP9LS3N,SAVILAND Builder Nail Gel Kit with Nail Drill: Clear Pink Nude White Gel Builder for Nails VE Castor Oil Ultra - Hard Gel with U V Lamp Base Top Coat for Nail Apex Extension Strengthener SSProAcryl X,$37.99,$338,61310,242,4.4,FBA,9,No
B07Q7ZV766,"200 PCS Nail Forms for Builder Gel, AHIER Self-adhesive Nail Extension Forms for DIY at Home Professional Nails Art Supplies",$4.99,"$3,902",8420,7711,4.3,FBA,10,No
