ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B085VYPGMD,"Mancro Dog Car Seat Cover for Back Seat, 2026 Upgraded 600D Heavy Duty Waterproof & Scratch-Resistant Dog Hammock for Car, Back Seat Pet Cover for Dogs with Sedan, Trucks and SUVs, Standard, Black",$19.99,"$6,199",2202,8542,4.4,FBA,1,No
B0727Y5ZD7,URPOWER Dog Car Seat Cover for Pets 100% Waterproof Seat Cover Hammock 600D Heavy Duty Scratch Proof Nonslip Durable Soft Back Seat Covers for Cars and SUVs,$29.99,"$24,186",365,45216,4.6,FBA,2,No
B00QHC02EY,"Amazon Basics Waterproof Dog Car Seat Cover, Scratch Proof Protector for Pet, Car Back Bench, 56 x 47 inch, Black",$23.93,$461,16197,11967,4.4,FBA,3,No
B0CLVCMLCK,"Dog Car Seat Cover, 600D Heavy Dute Durable Car Seat Cover for Dogs Pets, 100% Waterproof Scratch Proof Nonslip Dog Hammock for Cars, Seat Covers Protector with Seatbelt for Pet Sedan SUV Trucks",$25.98,"$10,258",1351,3880,4.6,FBA,4,No
B0D9Y6X8K8,"MYJAQI Back Seat Extender for Dogs, Waterproof Dog Car Seat Cover for Back Seat with Hard Bottom, 2026 Upgraded Material, Anti Scratch, Safer, Easy to Use and Clean, Holds 400lbs",$73.06,"$7,434",2379,2206,4.6,FBA,5,No
B07YHQNFVL,"Yuntec Dog Car Seat Cover, Back Seat Cover for Dogs Pet Car Seat Protector Waterproof Bench Car Seat Cover, Non-Slip Reat Seat Cover fits Middle Armrest for Most Cars Trucks SUVs - Black",$26.98,"$4,272",2946,7860,4.6,FBA,6,No
B0DGKDWQV5,"PROZAR Dog Car Seat Cover for Back Seat, Hard Bottom Back Seat Extender for Dog, Back Seat Pet Cover for Dogs - Supports 400lbs, Waterproof Heavy Duty Scratch Dog Hammock for Car SUV and Small Truck",$29.03,"$2,505",4202,1455,4.5,FBA,7,No
B0DBHS7GK5,"fidozen Waterproof Dog Car Seat Cover with Belt for Back Seat - Washable Pet Protector Accessories for Cars, Trucks, SUVs, and Bench Seats - Auto Backseat Hammock for Small & Large Dogs",$19.99,$851,8700,734,4.4,FBA,8,No
B0DNKMHC9M,"Amazon Basics Dog Car Seat Cover for Pets, 100% Water Repellent, 600D Heavy Duty, Black, Universal Fit with Non-Slip Backing",$32.55,$114,35468,76,4.7,FBA,9,No
B0FN3SQMHL,"Large Dog Car Seat Cover with Dog Bed Mat for Back Seat Half - Single Seat Travel Hammock Extender, Waterproof Hard Bottom for Medium & Large Dogs, Car SUV Truck Vehicle",$64.84,$27,20375,59,4.2,FBA,10,No
