ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GWZV2HJF,"Vibration Alarm for Windows & Doors 110dB Loud Security Sensor with 3 Sensitivity Levels Includes Lanyard + Double-Sided Tape for Flexible Mounting – Ideal for Home, Rental, Travel & Dorm(3 Pack)",$25.99,,,0,,FBA,1,No
B002ZOBC7Y,EZ Tone entrada Alerta,$38.99,$234,53193,524,4.2,FBA,2,No
B0FQJ3P1F1,"WiFi Door Sensor Chime, Smart Door Open Alert Window Sensor for Business/Home/Kids Safety, Real-Time App Notification, 500ft Range, 32 Melodies, 5 Volume Levels, Window Contact Sensor Alarm Kit",$37.98,$281,104,168,4.3,FBA,3,No
B08PCDZTVD,"UltraPro Personal Security Window and Door Alarm, 6 Pack, DIY Protection, Burglar Alert, Wireless Chime/Alarm, Easy Installation, Home Security, Ideal for Home, Garage, Apartment, White, 49721",$24.08,"$1,938",28,5274,4.5,FBA,4,No
B0DK3DRVQ5,"Window and Door Alarm When Opened (5 Pack) for Kids Safety/Home Security, Sliding Front Door Opening Sensor Alarms for Dementia, 120dB Burglar Alert, Ideal for Business, Garage, Apartment,House, White",$29.99,$998,44,267,4.5,FBA,5,No
B0CRB36VPB,"Door Chime,SanJie Wireless Door Sensor Chime When Door Opens,Door Entry Alarm Chime for Business/Home/Kids,500 FT Range,26 Chimes 5 Adjustable Volume, 2 Sensors + 1 Receivers",$23.78,"$6,416",814,1231,4.3,FBA,6,No
B0CKLBRX63,"Security Door Window Alarm, Wireless Sensor Door Window Burglar Alarm, Door Alarms for Kids Safety, Easy Installation Doorbell Alarms for Office House Window Pool (4 Pack)",$9.78,$905,40,689,4,FBA,7,No
B07ZB2QLC2,Ring Alarm Contact Sensor - 2nd Gen | Instant Window & Door Alerts | Approximately 3-Year Battery Life | Slim Design Fits Any Frame | Easy Installation | Base Station Required,$14.99,"$16,086",289,29131,4.7,FBA,8,No
B08LKXCL65,"WiFi Door Alarm System, Wireless DIY Smart Home Security System, with Phone APP Alert, 8 Pieces-Kit (Alarm Siren, Door Window Sensor, Remote), Work with Alexa, for House, Apartment, by tolviviov",$59.99,$826,47,4361,4.2,FBA,9,No
B07HSQWY9Z,"Door Chime When Door Opens, Door Opened Alarm for Home/Business Office/Bedroom Entering, 2-Sensor + 1-Receiver with 500FT Range,58 Chimes,5-Volume Level, Entry Alert for Kids/Toddler/Dementia Safety",$20.88,"$1,994",3911,3047,4.4,FBA,10,No
