ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07PBV7D48,"Gotega Bathroom Sink Drain Strainers, Hair Catcher Shower Drain Covers Protector, Flexible TPR Material, Multiple Colors for Bathroom Tub Shower and Sink Hair Trap Garbage Disposal Parts, 5 Pack",$7.19,"$14,392",498,66448,3.9,FBA,1,No
B08R283HC3,"25 Pack Disposable Shower Drain Hair Catcher Mesh Stickers - Peel & Stick Drain Strainers to Prevent Clogs, Strong Waterproof Adhesive, Mess-Free Disposable Drain Covers for Shower & Bathtub",$11.99,"$16,352",210,12774,4.4,FBA,2,No
B0CW2PMYP2,"zaa Shower Drain Hair Catcher, 2 Pack Premium Silicone Drain Protector & Shower Drain Cover, Shower Installation Kits for Flat Drains of Shower Room, Bathroom, Gray",$7.99,"$15,296",391,4030,4.3,FBA,3,No
B0G4BDXSQG,"Silicone Drain Protector, Gray Anti-Clog Hair Catcher for Shower and Bathtub, 5.7 Inch Flexible Strainer with Easy Clean Design",$3.94,$21,308716,5,3.7,FBA,4,No
B0BWN4W84F,"zaa Bathtub Drain Hair Catcher, Premium Silicone Shower Hair Catcher, 1Pack Collapsible Hair Stopper for Pop Up and Regular Drains of Shower, Bathtub, Bathroom Sink, Bathroom Fixture Accessories, Gray",$6.99,"$16,435",167,8874,4.3,FBA,5,No
B0BGR9DD9B,2 Pack Drain Hair Catcher Silicone Bathroom Accessories Shower Drain Protector Sink Drain Strainer Hair Stopper for Shower Kitchen Bathroom Tub Grey,$5.99,"$11,923",329,7449,4.2,FBA,6,No
B0FCXZLWVQ,"2 Pack Hair Drain Catcher,Square Drain Cover for Shower Silicone Hair Stopper with Suction Cup,Easy to Install Suit for Bathroom,Bathtub,Kitchen (Sliver Grey)",$3.60,"$1,449",10492,251,3.7,FBA,7,No
B099X5FZ71,"Hair Drain Catcher,Square Drain Cover for Shower Silicone Hair Stopper with Suction Cup,Easy to Install Suit for Bathroom,Bathtub,Kitchen 2 Pack (Black)",$5.39,"$9,514",943,17841,4.1,FBA,8,No
B06W2MPGZV,LEKEYE Shower Drain Hair Catcher/Strainer/Stainless Steel and Silicone,$9.50,"$7,423",995,21188,4.4,FBA,9,No
B0FZLBV9LK,"WMHXYY 60 Pack Disposable Shower Drain Hair Catcher Mesh Stickers, Square 3.93 Inches, Suitable for Drain Strainers in Bathrooms, Bathtubs, Kitchen Sinks, Washbasins.",$6.50,$157,75146,17,3.6,FBA,10,No
