ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FQTGP8JV,"FPVtosky Nighttime Reflective Drone Landing Pad, Fast-fold Double Sided Waterproof Landig Pad Weighted for DJI Lito X1/Mini 5 Pro/ 4/3 Pro/Mini 4k / Mavic 4 / Air 3s/ Avata 2/ Neo/Flip",$17.99,"$1,817",3393,340,4.8,FBA,1,No
B0FQJ4PWSP,"STARTRC PHOTO Drone Landing Pad Foldable 2x3 Fast-Fold, (22in/55cm) Double-Sided Waterproof Launch Pad, Weighted Helipad for DJI Mini 4 Pro/Mini 4k/Neo/Mini 3/5pro/Mini 2 se/Avata 2/Flip Drone Accessories, Blue-Gray",$15.99,$183,22296,104,4.6,FBA,2,No
B0GFLRXNQK,"LKTOP Drone Landing Pad Weighted Foldable for DJI/Potensic/Skyrover/Specta, Double-Sided Waterproof Helipad Large Landing Mat for DJI Mavic/Air/Mini/Neo/Flip/Avata/FPV Series Accessories (26 inch)",$29.99,$11,285195,0,,FBA,3,No
B0FQJ42TG7,"STARTRC PHOTO Drone Landing Pad Foldable 2x3 Fast-Fold, (22in/55cm) Double-Sided Waterproof Launch Pad, Weighted Helipad for DJI Mini 4 Pro/Mini 4k/AIR 3S/Neo/Mini 3/Mini 2 se/Avata 2/Flip Drone Accessories (Blue-Green)",$15.99,$63,90499,38,4.7,FBA,4,No
B0FQJBHDGS,"STARTRC Drone Landing Pad for DJI Mini 5 Pro/NEO 2/Aavata 360, 22inch Windproof Waterproof Anti-Crash Portable Pad for Mini 3/Mini 4K/AVATA 2, Universal Fit for Mini 4 Pro/Flip/Mavic 4/Air 3s/FPV Drone, Mat for Outdoor Hiking Camping Beginner",$16.99,$700,18993,224,4.8,FBA,5,No
B0FQTH6394,"FPVtosky Nighttime Reflective Drone Landing Pad, Fast-fold Double Sided Waterproof Landig Pad Weighted for DJI Mini 5 Pro/ 4/3 Pro/Mini 4k / Mavic 4 / Air 3s/ Avata 2/ Neo/Flip(25 in)",$28.99,"$1,817",3560,340,4.8,FBA,6,No
B0C9P2P7DQ,"Hoodman Weighted Trifold UAV Drone Landing Pad LP21 fits Mini 4 Pro, mini 3 pro, mavic and spark. Durable, No Stakes Required, collapses to one sixth of deployed size",$39.99,$526,27361,151,4.8,FBA,7,No
B0D455738J,CQT Drone Landing Pad Universal Waterproof Weighted Portable Fast-Foldable Helipad Launch for DJI Avata 360 Mavic 3 4 Pro/Mini 2 SE/Air 2 2S/Mini 3 4 5 Pro/Mavic 2/Holy Stone/FPV/Avata 2/RC Quadcopters Accessories (55CM Yellow+Dark Gray),$15.99,$239,33724,144,4.8,FBA,8,No
B0CSCSL3Y6,CQT Drone Landing Pad Universal Waterproof Weighted Portable Fast-Foldable Helipad Launch for DJI Mavic 3 Pro/Mini 2 SE/Air 2 2S/Mini 3 4 Pro/Mavic 2/Holy Stone/FPV/Avata/RC Quadcopters Accessories,$14.81,$239,13313,142,4.8,FBA,9,No
B0GH2DD2NM,"Drone Landing Platform, 17-Inch Portable Waterproof with Reflective Night LOGO Elements, All-Weather, Compatible with Most Drones (Black-Orange)",$13.59,$119,42990,10,5,FBA,10,No
