ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G3HDZWQZ,"Candle Lighter Electric USB Rechargeable Plasma Arc Lighter with 360° Flexible Neck,LED Power Display,Safety Lock,Windproof Flameless,Long Arc Lighters Matches,4 Pack(HB-088B-4Pcs)",$14.99,$20,311170,13,4.9,FBA,1,No
B0FNMYNF56,"Spinning Arc Plasma Lighter - USB Rechargeable Electric Lighter with LED Display, Pocket- Size Design for Camping, Candles, Outdoor (Silver)",$21.99,$12,212085,4,3.5,FBA,2,No
B08M7QN7KS,"Electric Lighter, Candle Lighter USB Rechargeable, Arc Windproof Flameless Plasma Long Stick with Rope and Ring, Perfect for Candle BBQ Camping Kitchen Stove, Black",$6.29,$36,159771,2390,4.6,FBA,3,No
B095PBNMQC,"ARECTECH Rechargeable Electric Candle Lighter, Arc Plasma Windproof Lighter for Candle Kitchen Birthday, Christmas Stocking Stuffers Gifts for Mom Men Wife with Type-C Cable, Black",$6.29,"$1,331",20621,9241,4.3,FBA,4,No
B0DRV92ZD1,"LcFun 2 Pack Candle Lighter USB Rechargeable Electric Plasma Arc Lighters with Safety Lock, Windproof Flameless Lighters Long Stem Matches for Candle, Grill, BBQ, Camping, Gas Stoves (Black, Gold)",$6.99,"$5,296",8164,1201,4.7,FBA,5,No
B07Q7GSWZ6,"Electric Arc Windproof Plasma Lighter - USB Rechargeable, Upgraded Battery Indicator - Multichrome",$13.95,$203,96188,2275,4.4,FBA,6,No
B07L61G21Q,"Electric Arc Lighter USB Rechargeable Windproof Flameless Plasma with Battery Indicator for Fire, Cigarette, Candle - Outdoors Indoors | Bright-Black (Upgraded).",$13.95,$435,49436,6647,4.4,FBA,7,No
B0BVYDJ6KQ,"KTEBO 2 Pack Plasma Arc Electric Lighters Rechargeable - USB Long Reach for Scented Candles, BBQ Grill &Camping - Windproof Design Lighters - Stocking Stuffers",$8.99,"$1,411",21884,5554,4.4,FBA,8,No
B07T2D1VT2,LcFun Electric Lighter Windproof Dual Arc USB Rechargeable Flameless Plasma Lighters Waterproof Matches for Camping Hiking Survival Tactical Gear Birthday Gifts for Men Husband,$8.54,"$3,878",13239,5531,4.5,FBA,9,No
B0C8JHTWPR,"LcFun Electric Lighter USB Rechargeable Windproof Flameless Plasma Dual Arc Lighter Small Metal Pocket Lighters for Camping, Birthday Gifts for Men Husband (Nickel Brushed)",$8.99,"$1,801",21275,3510,4.2,FBA,10,No
