ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FL11V12P,"INTASTING Electric Kettle, Gooseneck Electric Kettle, ±1℉ Precise Temperature Control, Stainless Steel Interior, Quick Heating for Pour Over Coffee, Tea & Boiling Water, 0.9L (Black)",$59.47,"$5,124",6611,367,4.5,FBA,1,No
B0F4X6ZRGX,"Cocinare Gooseneck Electric Kettle, ±1°F Precise Temperature Control, 1500W Fast Heating, Pour Over Coffee & Tea Kettle with Brew Timer & Keep Warm, Stainless Steel, 0.9L (Delacroix Green)",$67.99,"$1,960",15409,442,4.4,FBA,2,No
B0F62LMYNY,"INTASTING Electric Kettles, Gooseneck Electric Kettle, ±1℉ Temperature Control, Stainless Steel Inner, Quick Heating, for Pour Over Coffee, Brew Tea, Boil Hot Water, 0.9L Black",$62.99,"$3,156",5550,495,4.5,FBA,3,No
B0DMVCNQVD,"Gooseneck Electric Kettle, Intelligent Temperature Control, Stainless Steel Inner, Quick Heating, for Pour Over Coffee, Brew Tea, Boil Hot Water, 1000W 0.9L Black",$44.99,"$1,696",27054,396,4.3,FBA,4,No
B0BCF4BXHB,"INTASTING Gooseneck Electric Kettle with ±1℉ Temperature Control for Pour Over Coffee & Tea, Quick Heating, BPA-Free Stainless Steel, Built-in Brew Timer, 1500W/0.9L (Ebony Black)",$62.99,"$1,492",27943,2177,4.4,FBA,5,No
B07T1CH2HH,"COSORI Electric Gooseneck Kettle with 5 Temperature Control Presets, Pour Over Kettle for Coffee & Tea, Hot Water Boiler, 100% Stainless Steel Inner Lid & Bottom, 1200W/0.8L",$69.99,"$6,220",3810,19257,4.7,FBA,6,No
B07G2MBM6L,"Bodum 27oz Bistro Gooseneck Electric Water Kettle, Pour Over Coffee & Tea, Stainless Steel, Matte Black",$39.97,"$2,859",9473,13093,4.5,FBA,7,No
B0FQT49BJG,"Gooseneck Electric Kettle, 1L Water Boiler, Pour Over Coffee & Tea, 1000W Fast Heating, Stainless Steel, Auto Shut-Off & Boil-Dry Protection, BPA-Free (Black)",$39.99,"$1,734",26198,208,4.6,FBA,8,No
B0D4617CLP,"Chefman Gooseneck Electric Kettle, 0.8L Pour Over Tea Kettle for Coffee and Tea, One-Touch Operation, Boil-Dry Protection, Auto Shut-Off, Ultra-Fast Hot Water Boiler – Black",$29.98,"$1,258",31533,749,4.6,FBA,9,No
B09TB23QKJ,"Mecity Electric Kettle Gooseneck Pour Over Kettle ±1℉ Temperature Control Quick Heating Water Boiler for Coffee & Tea & Formula Auto Shut Off Tea Kettle 1200 Watt, 0.8L, Matt Black, Barista Edition",$55.98,"$1,503",40765,2463,4.4,FBA,10,No
