ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01M3UK0VY,"Sun Joe Corded Electric Leaf Blower Machine, 155 MPH, 260 CFM, 6-Amp Motor, Black - Portable and Lightweight Gardening Equipment for Yard Care and Lawn Maintenance, SBJ597E",$32.99,"$1,803",13277,32218,4.6,FBA,1,No
B01B79BD6C,"WORX 12 Amp Electric Leaf Blower, Turbine Blower for Lawn Care with 600 CFM & 2 Speed Control, Corded, WG520",$75.27,"$1,425",10113,12559,4.7,FBA,2,No
B01HIGWCQI,"BLACK+DECKER Electric Leaf Blower, Handheld Blowers for Lawn Care, Lightweight, 180 MPH 180 CFM, 7-Amp, Corded (LB700)",$31.90,"$8,025",696,30082,4.6,FBA,3,No
B0FZVCPJ2T,"Electric Leaf Blower Corded, 7-Amp, 390CFM/ 210MPH, 2 Speed Modes, Powerful Lightweight Handheld Blowers for Lawn Care, Patio, Leaves, Dust, Snow (Green)",$29.80,$487,27819,65,4.4,FBA,4,No
B09Z5NCH3J,"SENIX 12 AMP Handheld Electric Leaf Blower, Up to 700 CFM and 110 MPH, Variable Speed, Lightweight, 120v (BLAE12-M)",$56.00,$269,46064,61,4.6,FBA,5,No
B0CW53X3T4,"SENIX 6 AMP Handheld Electric Leaf Blower, Up to 260 CFM and 155 MPH, Lightweight, 120V (BLE06-L)",$26.98,$42,56437,256,4.7,FBA,6,No
B0DCG357KW,"ZEGJAW Electric Leaf Blower Corded, 7-AMP Leaf Blowers, 155MPH/350CFM Small Handheld Lawn Blower Lightweight & Portable for Lawn Care",$32.95,$132,86759,272,4.5,FBA,7,No
B08T6GLRJT,"CRAFTSMAN Corded Leaf Blower, Powerful Lightweight Handheld Axial Electric Blower, 9 Amp (CMEBL710)",$49.00,$532,30409,526,4.7,FBA,8,No
B0BR38GJ9Z,"Corded Electric Leaf Blower,2 in 1 Small Handheld Lightweight Sweeper/Vacuum,110V 400W Portbale Blower for Leaf/Snow/Dust Blowing (Blue)",$29.99,$191,58737,630,4.2,FBA,9,No
B07JL9PZH2,"BLACK + DECKER Electric Leaf Blower, Hand Held Blowers for Lawn Care, Up to 450 CFM and 140 MPH Power, Axial, Lightweight, Corded (BEBL750)",$59.33,$311,36478,2409,4.7,FBA,10,No
