ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01M0UJVMN,"Toothbrush Cover for Oral-b Electric Toothbrush Replacement Heads Cover for Travel Toothbrushes, Brush Protection Cover for Home (3 PCS)",$4.69,"$2,373",28031,5762,4.6,FBA,1,No
B0CJMH5MF8,"Travel Case for Oral-B/Oral-B Pro/Phlips Sonicare Electric Toothbrush with 2pcs Toothbrush Heads Cover Cap, Portable Hard Protective Storage Bag with Accessories Storage (Black)",$9.99,"$2,369",17574,987,4.7,FBA,2,No
B07Z4XRMWG,Electric Toothbrush Travel Case for Oral-B Toothbrushes - 4 Pcs Toothbrush Head Covers Compatible with Oral B Electric Toothbrush Heads (White),$9.49,$54,154501,743,4.5,FBA,3,No
B0F4P178QH,"Aluminum Toothbrush Head Cover Cap, Tooth Brush Travel Protector Case Snap-On Design Suitable for Electric and Manual Brushes，2-Pack (Silver + Black)",$7.98,"$3,257",13868,325,4.5,FBA,4,No
B0BS3LSV6M,"4 Pack Electric Toothbrush Head Holder Storage Case Toothbrush Holder, Electric Toothbrush Holder, No Mess, Hygienic Toothbrush Head Holder, No Grime Build-Up",$8.76,$45,203068,46,3.8,FBA,5,No
B0FFH1ZQ3T,"Electric Toothbrush Case for Oral-B Pro/iO/Philips Sonicare, Waterproof Traveling Toothbrush Storage Bag with Mesh Pocket Covers Protection (Pink)",$9.99,"$1,465",22688,165,4.7,FBA,6,No
B08V5K5VL7,"2 Pcs Electric Toothbrush Travel Case, Portable Toothbrush Holder for Oral-B Pro and Other Electric Toothbrush Set by Hovesty (Blue&White)",$6.99,$374,59003,1254,4.3,FBA,7,No
B0FDGBRW52,"Long Ventilated Electric Toothbrush Travel Case, Portable Holder, Fits Most Standard Straight Electric Toothbrushes (Black)",$18.99,$359,53254,45,4,FBA,8,No
B0D4V86X5J,"Toothbrush Travel Case for Oral B/Oral-B Pro 1000 1500 5000 7000 & Philips Sonicare 4100 1100 5300 5100 6100/iO Electric Toothbrush, Hard Protective Storage Bag (Black)",$8.99,"$2,745",13630,653,4.7,FBA,9,No
B09L17WPWP,Toothbrush Travel Case Compatible with Philips Sonicare Electric Toothbrush & 6Pcs Reusable Toothbrush Head Covers Compatible with Philips Sonicare Toothbrush Heads (Blue),$9.99,$48,131503,268,4.5,FBA,10,No
