ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BTDTTDGW,4Pcs Electric Spin Toothbrush Replacement Heads Sensitive Dual Clean Rotating Sets Fit for Braun Oral B Cross Action Power 4732 3733 4734 (4),$8.99,"$2,501",15495,311,4.5,FBA,1,No
B0GCDRSJ3F,"Toothbrush Heads for Philips Sonicare Replacement Heads E-Series, Essence, Xtreme, Elite, Advance and CleanCare Screw-On Electric Handles, Brush Heads for Philip Sonic Care, 6 Pack",$17.89,"$1,762",17871,4236,4.6,FBA,2,No
B0F5448ZD5,"Replacement Toothbrush Heads for Philips Sonicare, Electric Toothbrush Head C1 Compatible with 1100/4100/5100/5300/6100/7500/9300 and More Click-on Handles, 12 Pack",$7.99,$797,36528,432,4.1,FBA,3,No
B0D3FJRH4S,"PRO-SYS® Black VarioSonic® Electric Toothbrush Replacement Heads (V130 Hybrid Soft), Burst Brush Head, Pack of 3",$19.99,$131,117958,297,4.6,FBA,4,No
B0GQ9M9NSN,"10PCS iO Replacement Heads Compatible with Oral B iO,iO Series Electric Toothbrush Heads Compatible with Oral B iO 2/3/4/5/6/7/8/9/10,Gentle-on-Gums Design for a Pleasantly Smooth Brushing Experience",$26.68,"$1,965",70520,28,4.1,FBA,5,No
B0F629THBQ,"Toothbrush Heads Replacement Compatible with Rtauys S5 Sonic Electric Toothbrush, 10 Count, Black",$9.99,$167,106384,54,4.5,FBA,6,No
B00RCK2JCI,"Replacement Toothbrush Heads Compatible with Oral B Braun, 12 Pcs Professional Electric Toothbrush Brush Heads Compatible with Oral B Replacement Heads Refill 7000/Pro 1000/9600/500/3000",$8.95,"$47,138",628,18147,4.6,FBA,7,No
B0GL8CFWRR,"Replacement Toothbrush Heads for Philips Sonicare Replacement Heads,Electric Replacement Brush Head Compatible with Phillips Sonicare Electric Toothbrush,for Philips Sonic Care Brush,10 Pcs",$16.99,"$5,621",6598,427,4.6,FBA,8,No
B00LVUSVU4,"Oral B Cross Action Electric Toothbrush Replacement Brush Heads Refill, 4Count",$19.28,"$42,932",481,92515,4.8,FBA,9,No
B09YL55V38,"SetSail Toothbrush Heads for Oral B, 8 Pack Professional Electric Toothbrush Replacement Heads Medium Soft Dupont Bristles Replacement Toothbrush Heads Precision Clean Brush Heads Refills",$5.98,"$14,966",4671,6298,4.5,FBA,10,No
