ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FCHG5DH2,"Plant People WonderHydrate Electrolyte Gummies – Vegan Hydration Supplement with Magnesium, Potassium, Zinc, Vitamin C & Himalayan Sea Salt – Zero Sugar Lychee (42 Count)",$29.99,"$1,806",18980,74,4.3,FBA,1,No
B0DR91CG84,"Electrolyte Gummies Sugar Free | Electrolyte Hydration Energy Gummies for Running & Sports - Energy Chews with Calcium & Vitamin C for Kids & Adults, Multiple Mixed Flavors, Gluten-Free, 90 Count",$26.95,"$2,340",16379,615,4.3,FBA,2,No
B0FHHLXFMH,"Electrolyte Gummies Sugar Free | Electrolyte Hydration Energy Gummies for Running & Sports - Energy Chews with Calcium & Vitamin C for Kids & Adults, Multiple Mixed Flavors, Gluten-Free, 180 Count",$44.95,"$2,340",16379,615,4.3,FBA,3,No
B0CX9Y28QW,"VIFSSG Electrolytes Gummies No Sugar, 120 Chewable Electrolyte Gummies with 6 Electrolytes for Runners and Endurance Sports, Refreshing Blue Raspberry, Hydration Electrolyte Chews, 1 Pack",$25.99,"$1,110",29800,332,4.4,FBA,4,No
B0G26N7Z2D,"Electrolyte Gummies Sugar Free | Watermelon Recovery & Antioxidant Supplements for Energy, Instant Hydration & Post-Workout Performance | Energy Gummies Calcium & Vitamin C, Vegan, 120 Count",$27.99,$206,94668,49,4.3,FBA,5,No
B0FHS1CCZP,"Hydration Electrolyte Gummies - Daily Liquid Replenisher Gummy - Electrolyte Multiplier with Minerals, Potassium & Real Salt - Vegan, Non-GMO - Tasty Lemon Flavor Hydration Electrolytes - 60 Gummies",$14.82,"$1,253",25492,167,4.5,FBA,6,No
B0FHS7RLS3,"Hydration Electrolyte Gummies - Daily Liquid Replenisher Gummy - Electrolyte Multiplier with Minerals, Potassium & Real Salt - Vegan, Non-GMO - Tasty Lemon Flavor Hydration Electrolytes - 120 Gummies",$18.92,"$2,089",20540,300,4.5,FBA,7,No
B0DP3NKPVM,"Hydration Electrolyte Gummies - Daily Liquid Replenisher Gummy - Electrolyte Multiplier with Minerals, Potassium & Real Salt - Vegan, Non-GMO - Tasty Lemon Flavor Hydration Electrolytes - 60 Gummies",$14.82,"$2,089",20540,300,4.5,FBA,8,No
B0GV85W63R,"Soleflex Electrolyte Gummies for Hydration, Electrolytes Gummies for Runner Sugar Free, Raspberry Flavor, 120 Gummies (1)",$28.99,$98,107574,1,,FBA,9,No
B0DK26P4ZL,"Nuun Zero Sugar Hydration Electrolyte Tablets - Sodium, Potassium, Chloride, Calcium, Magnesium, Light & Delicious Fruit Flavors, No Sugar, Gluten Free, Vegan, Mixed Citrus 4 Pack (40 Servings Total)",$21.36,"$20,007",1782,359,4.5,FBA,10,No
