ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B085LR9BM2,LMNT Zero Sugar Electrolytes - Raw Unflavored Salt | Drink Mix | 30-Count,$45.00,"$392,650",5,2367,4.4,FBA,1,No
B0FJZSSC96,"TRULABS Hydrate Electrolyte Drink Mix – Glacier Flavor, Sugar-Free Hydration Packets with 1422 mg Electrolytes & 19 Vitamins & Minerals, Monk Fruit Sweetened, On-the-Go Sticks (16 Count)",$24.99,"$4,191",10224,90,4.8,FBA,2,No
B0FG1R2PGZ,"Hydration Powder, Electrolyte Powder Packets, Naturally Flavored Hydrating Packets for Water, Fast Acting Hydrate Electrolytes with Vitamins C & D",$22.97,$2,374603,1,4.4,FBA,3,No
B0D4R4YF8J,Electrolyte Powder Sugar-Free Hydration Packets Variety Pack HydroMATE 30 Sticks,$29.90,"$11,934",3974,1243,4.5,FBA,4,No
B09BD8GZ8L,Nectar Hydration Packets - Electrolytes Powder Packets - Sugar Free & 0 Calorie - Organic Fruit Liquid Daily IV Electrolytes Powder for Dehydration Relief and Rehydration (Variety 30 Pack),$25.41,"$98,670",127,12071,4.3,FBA,5,No
B08XQZX9K3,"Ultima Replenisher Daily Electrolyte Powder – Original Variety Pack, 20 Stickpacks – Zero Sugar Hydration Packets with 6 Electrolytes and Minerals – Sugar Free, Plant Based & Keto Friendly​ Drink Mix",$20.99,"$221,203",34,19691,4.6,FBA,6,No
B0DN6T1QGD,"Venture Pal High Sodium Sugar-Free Electrolyte Powder Packets - Hydration Packets with Sodium, Potassium & Magnesium | Zero Calories | Keto, Vegan, and Paleo Friendly | 16 Sticks",$9.99,"$29,674",1904,1574,4.2,FBA,7,No
B0D7956B3Q,"Electrolytes Powder Packets, 30 Sticks Hydration Packets Sugar Free, Electrolyte Drink Mix Travel Electrolyte Packets for Rapid Hydration, 6 Flavors",$23.99,"$5,983",6109,301,4.4,FBA,8,No
B0F9W5569Q,"Electrolytes Powder Packets Sugar Free Hydration Packets, 7 Flavors Liquid Daily IV Electrolyte Drink Mixes for Rehydration with Electrolytes, Vitamins, 0 Calorie, 20 Sticks",$19.99,"$1,528",21324,168,4.3,FBA,9,No
B0FNWM7HJ4,"40 Sticks Sport Hydration Sugar Free Electrolyte Packets, High Sodium Low Calorie Electrolyte Powder Drink Mix, Liquid Daily IV Flavors | Salty Watermelon Raspberry Lemon Orange",$14.99,"$6,377",7744,231,4.3,FBA,10,No
