ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F1FJ51S1,"Espresso Accessories Kit 51mm, Coffee Tamper Set with Espresso Tamper, WDT Tool, Espresso Tamper Mat, Espresso Dosing Funnel, Puck Screen, Espresso Tools for 51mm Coffee Machine Accessories",$27.99,$30,,55,4.3,FBA,1,No
B0FL78Y4L9,"7 Pcs 51mm Espresso Accessories Kit, Spring Loaded Calibrated Tamper, WDT Tool, Coffee Measuring & Espresso Cup and Tamper Mat, Puck Screenr & Dosing Funnel, 51mm Espresso Machine Accessories",$35.99,$533,,44,4.3,FBA,2,No
B07WRLN8HZ,"watchget Espresso Tamping Mat, Coffee Tamper Mat, Black Food Grade Silicone Pad, 8Inch X 6Inch Coffee Tamping Mat, Portafilter Mat For Barista Espresso Machine Accessory, Waterproof and Heat Resistant",$17.98,"$1,226",,1330,4.8,FBA,3,No
B0B69LVDQD,"MiiCoffee Espresso Tamper Mat, Black Silicone Food Grade Pad 8 X 6 Inch Coffee Tamping Mat, Coffee Tamp Station, Espresso Accessory, Waterproof and Heat Resistant (Black)",$14.99,$208,,301,4.7,FBA,4,No
B0GCJ9V7XQ,"9 Pack Espresso Tamper Station&Coffee Distributor Tamper&Espresso WDT Stirrer&Coffee Tamping&Brush&Coffee Dosing Funnel&Espresso Puck Screen, Latte Art pen and Towel (51 mm)",$49.99,$110,,4,4.2,FBA,5,No
B0CB1BVRG1,Normcore Espresso Tamping Station V3 - Corner Tamping Mat - Silicone Coffee Tamper Mat - Coffee Tamper Holder Pad for Baristas - Food Grade Non-Slip Silicone Black,$29.99,$120,,119,4.4,FBA,6,No
B098MQWN15,"Normcore Espresso Tamping Mat I Food Safe Rubber Coffee Tamper Mat I Portafilter Mat For Baristas I Coffee Tamp Mat I Waterproof, Heat Resistant Tamping Pad and Tamp Station",$17.99,"$1,611",,548,4.8,FBA,7,No
B0DJ79XKFZ,"Normcore Corner Tamping Mat, Espresso Silicon Tamper Mat, Coffee Tamp Station, Espresso Accessory, Waterproof and Heat Resistant, Food-grade Silicone Rubber, White",$17.99,"$1,611",,546,4.8,FBA,8,No
B0GCGXKS1P,"8 PCS Espresso Accessories Kit, 54mm Espresso Tamper Kit Coffee Tamper Set with Coffee Distributor, Espresso Tamping Station, Espresso WDT Stirrer,Dosing Funnel, Fits Breville 54 mm Portafilter",$46.99,$578,,36,4.4,FBA,9,No
B077C41TJS,"Silicone Coffee Tamper Mat 8 Inch X 6 Inch, Espresso Silicone Mat, Espresso Tamper Mat, Coffee Tamp Mat",$8.99,$740,,2493,4.7,FBA,10,No
