ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CQK5M64Z,"MECMO EV Charger Holder SAE J1772 Nozzle Holster Dock and J-Hook Combination Wall Mount, EVSE Electric Vehicle Car Charger Cable Organizer EV Charger Cord Wall Hook Cable Holder J1772 Connector",$16.99,$365,24512,141,4.8,FBA,1,No
B0CQXLH7W6,Joinfworld EV Charger Holder Wall Mount Kit EV Charger Holster Dock for SAE J1772 Connector J-Hook EV Charger Cable Holder & EV Charging Box Holder for Electric Vehicles,$24.99,$290,25859,206,4.6,FBA,2,No
B0GKF2ZQWW,"EV Charger Cable Retractor, Universal EV Charger Retractable Cable Management System, Garage Charging Cable Organizer for All Level 2 Chargers-Mounts to Ceiling and Wall",$45.99,$31,113217,6,4.7,FBA,3,No
B0CLH54JBD,EV Charger Holder Wall Mount Electric Car Charging Cable Holster for SAE J1772 Charging Plug & Connector,$14.79,$226,32127,194,4.8,FBA,4,No
B0D83WCCPN,"MECMO EV Charger Holder SAE J1772 Wall Mount Charging Cable Hanger Organizer, Nozzle Holster Dock Electric Vehicle EVSE PHEV Car Plug Space Saving Garage Wall Connector Cord Hook for Outdoor Indoor",$14.99,$363,29586,209,4.6,FBA,5,No
B0DFHFCV81,"EV Charger Holder Wall Mount | Heavy-Duty J-Hook for Cable Retractor, Durable Steel Hook for Indoor/Outdoor Use, Electric Vehicle Cord Organizer Accessory",$8.99,$495,14306,148,4.4,FBA,6,No
B07FC9M4YF,Lectron Electric Vehicle Charger Nozzle Holster Dock & J-Hook Combo for All J1772 Evs,$18.99,"$1,159",4975,2122,4.8,FBA,7,No
B0CM93W859,"EV Charger Holder-J1772 Connector, Nozzle Holster Dock and J-Hook Combination, EV Cable Holder Wall-Mount Electric Vehicle Charger.",$9.99,$973,15960,170,4.8,FBA,8,No
B0DZHG43KR,"FOCSPROD EV Charger Holder, with 180° Rotation Nozzle Dock, Metal J-Hook for SAE J1772 Charger Holder Organizer Wall-Mount Connector Electric Vehicle Charging Cable Car Accessories",$19.99,$815,7981,175,4.7,FBA,9,No
B0CM9KCXMZ,EV Charger Holder Wall Mount – J1772 Cable Organizer & Nozzle Holster with Storage Box for Electric Vehicle Charging,$16.99,$583,8558,184,4.6,FBA,10,No
